강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도
춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군
43,49,25,23,9,7,10,23,2,12,12,9,1,2,6,7,6,4
44,57,23,29,5,6,7,23,2,10,11,6,1,3,6,5,6,3
50,70,19,31,19,5,5,20,4,11,14,9,2,3,7,3,8,4
42,66,27,39,34,9,4,17,3,10,11,7,2,2,19,3,6,5
49,67,31,34,36,10,4,19,7,11,10,12,3,1,32,4,5,5
63,61,29,27,22,11,4,23,9,7,14,11,2,-,30,5,1,2
70,59,21,20,4,6,6,28,14,3,18,9,1,-,19,5,1,-
64,47,19,18,5,6,9,29,10,3,21,5,5,-,6,4,4,-
53,40,29,23,31,6,12,27,9,4,19,7,11,-,6,4,6,-
50,40,44,28,64,10,19,34,6,5,23,9,11,-,2,3,6,-
