수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군
22,74,42,16,6,3,16,43,30,16,231,12,101,9,104,43,53,72,46,2,9,98,16,41,15,10,26,36,30,16,17,64,69,66,65,184,12,26,24,5,33,60
21,64,26,19,8,6,15,45,34,24,252,16,90,8,97,57,60,64,41,3,14,118,21,51,18,4,31,40,34,19,103,49,43,64,82,178,10,26,25,6,32,72
22,52,15,19,10,8,14,52,34,28,306,19,98,12,87,69,57,57,38,2,18,137,26,58,18,3,28,53,37,43,125,31,67,71,86,180,15,27,29,6,61,74
27,54,23,18,8,9,12,50,30,24,353,23,87,20,80,69,57,60,35,2,18,134,62,56,18,3,24,61,45,76,115,28,103,65,114,171,21,18,43,3,58,71
29,60,24,17,7,9,11,48,21,14,347,33,87,26,97,75,46,64,36,2,20,147,87,61,12,3,15,65,38,76,116,43,159,60,128,163,33,14,57,4,89,70
28,56,26,20,4,7,14,62,24,12,374,28,85,31,103,59,54,73,38,3,17,117,87,56,12,6,13,56,29,55,108,39,139,50,128,175,45,16,54,9,85,44
29,53,24,25,6,10,14,70,24,10,403,28,2,33,110,48,53,75,44,3,21,107,79,57,10,7,24,50,30,35,115,40,77,57,117,165,50,83,48,10,85,30
40,84,28,32,6,10,13,91,28,13,569,23,117,38,111,39,60,92,55,3,28,95,81,68,14,11,15,51,48,42,147,36,22,76,132,176,46,35,42,11,87,33
49,117,38,37,8,9,12,91,22,11,671,32,137,29,148,55,59,109,68,3,29,117,104,101,13,9,18,58,69,48,175,50,62,88,156,144,39,39,52,9,63,45
53,137,42,42,13,8,15,88,27,14,790,32,189,27,155,67,62,129,90,4,24,139,88,133,22,10,27,66,83,47,184,45,112,102,168,151,36,37,46,11,64,51
