창원의창구,창원성산구,창원마산합포구,창원마산회원구,창원진해구,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군,
54,18,64,85,44,185,61,74,165,40,292,97,-,28,38,29,5,3,4,9,8,21,
57,15,51,74,44,154,62,65,155,59,326,95,1,22,45,25,3,4,2,11,10,15,
52,21,42,69,56,184,74,67,127,56,288,107,2,21,40,22,7,5,-,9,13,11,
58,31,43,61,71,183,77,75,133,44,287,102,2,20,30,18,11,3,-,11,12,7,
59,46,45,46,81,189,88,69,136,27,265,87,2,23,20,17,15,5,2,10,7,5,
68,41,63,43,86,183,66,70,154,24,212,81,1,22,17,16,12,5,3,14,9,6,
73,41,56,48,73,191,53,70,171,29,191,72,1,18,20,21,9,5,5,11,14,9,
79,32,66,58,64,160,46,80,271,35,232,89,1,11,25,26,9,4,4,9,17,12,
79,42,59,61,61,148,50,81,365,38,279,93,2,11,25,26,13,6,6,3,12,11,
71,42,65,67,61,123,64,87,439,29,322,90,3,11,18,29,14,6,6,5,8,9,
