포항남구,포항북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군
93,101,85,47,29,113,34,21,8,6,54,5,9,,6,12,9,8,65,5,4,25,
77,87,102,64,26,141,31,25,11,9,59,7,7,,4,10,9,11,62,5,3,11,
77,77,127,78,30,154,21,34,10,11,61,7,3,1,6,7,10,16,58,6,2,5,
81,66,241,80,30,150,16,38,8,10,62,6,1,2,7,6,8,21,49,15,1,8,
78,71,312,54,30,134,13,37,6,6,55,3,,3,8,7,4,21,38,17,1,11,
76,86,379,34,26,139,14,27,9,3,45,2,,3,5,11,1,16,34,17,1,11,
70,99,267,39,25,150,17,20,12,1,45,2,,2,5,10,,7,31,6,1,7,
87,95,187,42,27,155,19,20,15,3,61,3,,1,3,8,1,2,33,3,1,9,
96,88,106,41,38,156,29,23,18,8,81,5,,,2,4,2,1,34,3,2,11,
100,76,128,39,50,146,35,28,18,12,89,7,,,2,8,2,4,44,4,4,35,
