중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군
36,28,46,33,107,72,49,49,75,80,35,13,34,59,41,101
34,22,80,41,134,69,48,42,72,72,42,14,37,52,33,105
29,25,83,58,114,60,39,48,63,100,39,15,39,87,49,76
57,30,56,57,103,48,45,64,59,108,39,11,32,75,58,67
82,30,25,61,98,58,43,75,59,117,45,14,24,126,62,54
113,32,47,56,163,65,46,82,72,101,70,15,27,134,56,64
109,32,46,61,210,79,40,69,76,98,95,17,36,186,46,61
96,36,47,54,219,77,40,63,86,99,124,14,49,184,40,63
63,31,26,45,215,77,39,55,75,104,133,14,49,140,45,65
33,31,29,34,191,70,44,59,74,114,109,12,46,98,54,52
