종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
8,9,8,2,23,11,40,43,71,68,33,141,63,47,140,418,70,135,19,59,85,24,14,21,20
19,15,10,2,23,9,42,50,63,73,28,120,54,41,154,414,77,120,12,90,130,28,26,19,25
31,27,11,5,31,6,48,53,54,58,32,107,51,38,169,466,101,126,13,128,191,39,43,22,27
49,38,18,6,35,7,54,56,65,67,48,112,43,43,180,480,121,127,17,173,262,53,61,29,36
47,33,16,9,35,9,52,47,72,78,50,105,43,48,215,590,147,163,28,169,258,56,64,30,44
36,24,16,7,26,13,44,40,85,99,54,135,54,65,242,600,148,145,30,149,227,50,66,27,47
25,18,8,8,25,21,41,34,90,92,52,141,64,64,252,612,155,139,28,135,177,45,62,21,56
28,21,11,9,31,27,47,40,105,90,58,164,79,71,262,693,155,137,20,150,210,52,64,29,57
37,22,11,15,37,28,52,43,117,82,44,133,72,48,282,827,160,163,18,153,255,61,62,37,67
35,19,14,17,35,30,50,49,136,89,39,124,76,46,326,967,187,180,23,137,289,58,55,45,65
