서울특별시,경기도,인천광역시,세종특별자치시,부산광역시,대구광역시,광주광역시,대전광역시,울산광역시,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
1572 ,1863 ,813 ,41 ,858 ,330 ,232 ,113 ,306 ,250 ,599 ,595 ,359 ,337 ,741 ,1324 ,193 
1644 ,1990 ,843 ,37 ,897 ,320 ,254 ,122 ,296 ,247 ,615 ,586 ,367 ,334 ,763 ,1295 ,174 
1877 ,2192 ,863 ,45 ,924 ,320 ,195 ,171 ,343 ,284 ,591 ,599 ,416 ,339 ,802 ,1273 ,122 
2180 ,2348 ,965 ,47 ,909 ,313 ,216 ,193 ,347 ,306 ,578 ,671 ,380 ,332 ,907 ,1279 ,104 
2408 ,2513 ,1050 ,54 ,973 ,333 ,226 ,220 ,322 ,340 ,570 ,678 ,408 ,339 ,909 ,1244 ,118 
2429 ,2441 ,1096 ,48 ,1143 ,362 ,260 ,214 ,326 ,321 ,590 ,659 ,460 ,341 ,939 ,1196 ,117 
2365 ,2361 ,1049 ,56 ,1261 ,396 ,218 ,232 ,269 ,284 ,495 ,566 ,545 ,368 ,816 ,1181 ,128 
2610 ,2748 ,1150 ,59 ,1291 ,406 ,246 ,249 ,275 ,255 ,531 ,673 ,624 ,392 ,775 ,1330 ,141 
2826 ,3193 ,1405 ,52 ,1176 ,433 ,277 ,268 ,248 ,287 ,541 ,896 ,585 ,393 ,748 ,1471 ,132 
3091 ,3630 ,1417 ,46 ,1050 ,467 ,301 ,321 ,284 ,354 ,606 ,1164 ,623 ,479 ,832 ,1569 ,153 
