목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군
100,9,31,15,50,6,11,4,9,5,6,3,9,8,23,26,,1,4,3,5,9
87,39,24,14,40,7,10,4,9,3,10,6,7,12,24,19,,1,4,4,5,5
111,24,26,13,28,9,9,4,13,2,9,5,3,10,31,18,,2,3,9,7,3
107,26,26,15,26,4,9,1,10,,11,5,6,10,33,18,,4,2,13,4,2
116,29,31,17,27,5,3,1,9,,11,1,4,9,29,15,,9,3,12,6,2
88,36,29,24,27,4,4,1,6,2,13,,4,24,29,17,1,12,2,10,6,2
95,35,35,19,23,5,6,1,6,3,15,2,5,40,27,16,2,14,4,7,6,2
92,35,38,21,35,3,6,2,10,8,14,2,5,41,27,18,3,12,3,8,7,2
85,33,37,31,40,5,5,2,11,8,10,4,7,43,18,17,4,11,5,8,7,2
76,40,42,41,57,7,3,2,14,9,8,3,7,44,12,82,3,6,3,12,7,1
