전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,,,
전주완산구,전주덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군,,,
60,46,61,60,7,60,14,19,3,3,-,8,3,1,14,,,
59,58,51,72,13,30,14,23,4,2,1,13,2,3,22,,,
61,58,61,92,14,31,18,22,6,1,1,14,5,5,27,,,
57,67,55,86,16,7,15,18,10,1,1,8,7,6,26,,,
75,84,68,71,14,7,16,19,11,3,1,5,7,4,23,,,
77,84,78,61,13,61,18,18,12,5,2,3,5,3,20,,,
79,95,86,60,11,115,25,22,11,6,2,11,2,2,18,,,
77,101,83,64,15,169,29,23,16,6,1,9,1,5,25,,,
77,106,70,58,19,128,33,24,17,4,-,11,-,8,30,,,
81,99,139,82,19,76,30,26,17,3,1,6,2,10,32,,,
