충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,,
천안동남구,천안서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군,,
77,142,19,10,73,45,65,-,45,13,5,38,6,14,34,9,,
66,120,21,10,48,58,63,1,51,13,4,69,5,17,32,8,,
71,111,19,12,50,71,70,2,53,13,2,66,6,13,27,13,,
79,172,16,16,68,86,52,4,46,10,2,44,6,12,42,16,,
80,230,17,19,81,74,36,3,33,11,2,11,9,7,44,21,,
91,211,22,22,85,57,11,3,33,11,1,11,7,12,63,19,,
94,133,30,22,86,33,18,2,44,13,1,6,7,12,47,18,,
97,173,20,25,99,35,26,3,79,12,3,14,4,15,51,17,,
88,386,19,21,108,38,32,2,85,9,3,38,4,10,35,18,,
90,449,24,20,105,56,48,3,187,9,6,65,8,15,56,23,,
