포항남구,포항북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군
74 ,82 ,80 ,78 ,82 ,69 ,74 ,88 ,77 ,70 ,90 ,93 ,83 ,,128 ,100 ,85 ,106 ,74 ,74 ,59 ,60 ,
76 ,78 ,78 ,93 ,73 ,71 ,75 ,89 ,77 ,74 ,80 ,71 ,82 ,,173 ,100 ,80 ,89 ,70 ,46 ,51 ,57 ,
79 ,77 ,76 ,81 ,84 ,68 ,74 ,71 ,75 ,76 ,79 ,61 ,81 ,,127 ,74 ,88 ,81 ,74 ,57 ,51 ,101 ,
78 ,76 ,76 ,78 ,82 ,65 ,71 ,68 ,,77 ,79 ,61 ,62 ,,111 ,,71 ,81 ,69 ,,51 ,77 ,
76 ,80 ,53 ,75 ,85 ,68 ,88 ,69 ,,77 ,80 ,49 ,,62 ,106 ,,68 ,79 ,80 ,75 ,,55 ,
73 ,76 ,54 ,76 ,57 ,70 ,66 ,63 ,75 ,67 ,79 ,,,62 ,100 ,85 ,58 ,72 ,60 ,62 ,,66 ,
74 ,77 ,60 ,75 ,57 ,71 ,87 ,59 ,85 ,,78 ,,,62 ,69 ,86 ,,56 ,62 ,62 ,,64 ,
63 ,79 ,59 ,73 ,66 ,70 ,74 ,50 ,81 ,101 ,75 ,,,,4 ,85 ,,59 ,56 ,60 ,106 ,113 ,
62 ,79 ,70 ,70 ,86 ,70 ,65 ,76 ,93 ,104 ,75 ,,,,4 ,80 ,81 ,,78 ,87 ,106 ,101 ,
65 ,75 ,68 ,67 ,80 ,70 ,66 ,77 ,87 ,91 ,74 ,28 ,,,112 ,87 ,81 ,83 ,79 ,88 ,106 ,55 ,
