중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군
80 ,63 ,78 ,71 ,81 ,92 ,83 ,87 ,98 ,80 ,89 ,81 ,83 ,87 ,89 ,90 
84 ,84 ,72 ,75 ,75 ,90 ,87 ,85 ,88 ,81 ,82 ,78 ,78 ,78 ,90 ,81 
84 ,74 ,70 ,102 ,72 ,90 ,79 ,85 ,84 ,81 ,82 ,77 ,78 ,68 ,85 ,82 
53 ,77 ,73 ,99 ,68 ,68 ,78 ,84 ,84 ,80 ,79 ,74 ,72 ,73 ,84 ,60 
58 ,76 ,73 ,101 ,72 ,85 ,75 ,80 ,73 ,77 ,71 ,72 ,74 ,76 ,78 ,57 
57 ,72 ,57 ,64 ,70 ,89 ,71 ,74 ,73 ,74 ,69 ,71 ,65 ,79 ,75 ,59 
60 ,73 ,56 ,68 ,71 ,86 ,69 ,70 ,72 ,69 ,77 ,74 ,65 ,70 ,71 ,74 
56 ,74 ,54 ,65 ,68 ,72 ,71 ,71 ,68 ,74 ,72 ,73 ,71 ,58 ,71 ,77 
56 ,75 ,61 ,67 ,67 ,68 ,74 ,73 ,69 ,76 ,65 ,74 ,73 ,62 ,77 ,64 
56 ,73 ,72 ,61 ,63 ,67 ,73 ,76 ,70 ,73 ,66 ,72 ,75 ,62 ,79 ,63 
