목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군
79 ,90 ,83 ,80 ,80 ,110 ,,139 ,81 ,96 ,83 ,,74 ,99 ,82 ,85 ,,,105 ,,79 ,90 
81 ,83 ,82 ,78 ,78 ,109 ,55 ,122 ,93 ,114 ,86 ,75 ,96 ,96 ,83 ,75 ,,,105 ,64 ,79 ,94 
75 ,80 ,80 ,84 ,81 ,110 ,55 ,112 ,85 ,114 ,87 ,83 ,112 ,86 ,80 ,78 ,,,88 ,106 ,98 ,94 
72 ,77 ,81 ,76 ,85 ,82 ,140 ,77 ,79 ,,87 ,83 ,105 ,86 ,75 ,82 ,,,,91 ,100 ,
72 ,73 ,82 ,75 ,86 ,70 ,,77 ,73 ,,76 ,85 ,89 ,76 ,69 ,102 ,,,65 ,96 ,84 ,
76 ,68 ,83 ,76 ,79 ,70 ,116 ,,69 ,,80 ,,89 ,108 ,68 ,85 ,,76 ,65 ,74 ,92 ,
74 ,66 ,80 ,78 ,77 ,70 ,57 ,,69 ,,74 ,213 ,95 ,39 ,69 ,86 ,,75 ,87 ,70 ,92 ,
72 ,66 ,78 ,75 ,75 ,70 ,58 ,90 ,68 ,87 ,77 ,213 ,126 ,75 ,67 ,80 ,,76 ,107 ,63 ,74 ,61 
73 ,73 ,72 ,75 ,80 ,95 ,36 ,90 ,81 ,98 ,79 ,178 ,134 ,73 ,66 ,67 ,66 ,81 ,111 ,76 ,84 ,61 
69 ,72 ,78 ,77 ,76 ,108 ,59 ,90 ,72 ,98 ,81 ,159 ,75 ,68 ,69 ,77 ,66 ,85 ,112 ,101 ,84 ,61 
