천안동남구,천안서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군
77 ,85 ,56 ,114 ,81 ,77 ,70 ,,76 ,109 ,70 ,78 ,79 ,82 ,64 ,83 
63 ,79 ,58 ,83 ,76 ,82 ,69 ,,78 ,72 ,70 ,74 ,91 ,81 ,51 ,77 
71 ,75 ,53 ,106 ,67 ,68 ,69 ,,65 ,63 ,,54 ,,81 ,50 ,94 
72 ,79 ,81 ,80 ,76 ,71 ,70 ,71 ,63 ,63 ,,72 ,,85 ,54 ,84 
68 ,81 ,70 ,86 ,70 ,68 ,82 ,71 ,57 ,56 ,47 ,72 ,50 ,81 ,70 ,77 
77 ,76 ,73 ,86 ,72 ,75 ,84 ,,71 ,53 ,47 ,74 ,57 ,68 ,60 ,67 
77 ,66 ,62 ,95 ,68 ,77 ,52 ,58 ,61 ,53 ,47 ,73 ,57 ,71 ,51 ,69 
68 ,71 ,64 ,88 ,74 ,77 ,51 ,58 ,51 ,61 ,106 ,73 ,74 ,72 ,50 ,65 
75 ,66 ,50 ,89 ,70 ,80 ,51 ,58 ,60 ,61 ,106 ,,100 ,80 ,50 ,66 
74 ,69 ,67 ,87 ,68 ,74 ,56 ,,52 ,72 ,96 ,55 ,97 ,68 ,52 ,71 
