시도,전국,수도권,지방,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,세종특별자치시,세종특별자치시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,광주광역시,광주광역시,광주광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,울산광역시,울산광역시,울산광역시,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,제주특별자치도
시군구,소계,소계,소계,소계,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,소계,수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군,소계,중구,동구,미추홀구,연수구,남동구,부평구,계양구,서구,강화군,옹진군,소계,세종특별자치시,소계,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군,소계,중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군,소계,동구,서구,남구,북구,광산구,소계,동구,중구,서구,유성구,대덕구,소계,중구,남구,동구,북구,울주군,소계,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군,소계,청주상당구,청주서원구,청주흥덕구,청주청원구,충주시,제천시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군,소계,천안동남구,천안서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군,소계,전주완산구,전주덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군,소계,목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군,소계,포항남구,포항북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군,소계,창원의창구,창원성산구,창원마산합포구,창원마산회원구,창원진해구,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군,소계,제주시,서귀포시
202208,82.7,85.2,80.1,92,82.2,90.8,104.4,,91.6,86,81.5,88.1,88.2,89.8,85.7,85.4,80,90.9,88.9,73.3,93.3,80.2,90.7,110.2,99.4,117.8,100.8,90.2,93.6,80,92.2,81.1,83,89.5,90.2,91.4,84.9,87.6,83.5,86.2,85.6,87.1,68.1,103.8,85.3,86.3,78.6,64.4,80.4,,70.2,69.8,89.1,90.9,81.6,75.2,84.1,85.1,83.9,87.5,81,91.6,88.5,84.3,85.2,75.4,74,76.7,87.6,92,53,72.5,82,89.9,82.8,80.1,84.5,81.9,88.3,92.4,76.8,77.7,58.9,77,76.8,87,79.5,62.5,77.6,71,80.6,91.9,83.1,87.3,98.3,80.4,88.5,81.3,83.4,86.6,88.8,90.4,80,94.2,82.1,73.3,90.2,83.8,77.3,80.3,74,98.7,86,81.4,90.9,88.5,81.1,86.2,80.1,75.7,79.9,93.8,77.5,78.8,82,81.8,87.2,74.2,79.8,86.9,82,77.3,57.8,110.4,99.2,95.6,115.8,80.9,81.5,,89.2,51.3,97.9,102.8,70,94.5,76.3,133.6,102.1,83,85,85.4,70.8,77.5,96.1,99.3,95.6,69.4,64.9,69.5,84.1,84.3,86.8,81.4,78,76.5,85.1,56,114.4,80.6,77.3,70.3,,76,109.4,70.2,78.2,79.4,82.2,63.9,83.2,81,87.6,73.1,87.8,82.6,86.2,67.4,87.5,93.5,83.4,78.9,,131.2,,74.3,54.3,84,79.2,89.9,82.9,79.8,80,110.4,,138.9,80.7,95.6,82.9,,74.3,99.3,82.1,85.2,,,104.7,,79.1,89.9,76,74,81.8,80.4,78.4,81.8,69.3,74.2,87.9,76.9,69.8,90.1,92.5,82.7,,128.1,100.1,85.2,105.6,74.2,74.3,58.5,60.1,,73,62.6,84.3,85,75.4,87,69.5,78.9,72.9,82.6,73.6,62.4,77.6,,81.8,65.5,56.5,76.9,103.6,68.3,93,81.9,97.4,86,85.6,85.3
202209,80.1,82.5,77.5,88.3,84.9,68.2,97.3,,85.1,79.7,83.8,91.4,86.2,86.9,80.7,84.5,83.5,91.8,83.9,73.1,92.7,94.1,89.7,90.9,93.6,100.6,97.4,59.8,89.9,79.1,94.5,79.9,74.6,85.5,98.7,97.7,83.4,84.5,78.1,82.1,81.6,83.8,67.8,104.3,82.1,79.2,69.7,64.6,82.9,,71.6,78,85.1,87.8,72.4,78.2,80.3,85.2,85,73.8,69.2,95.7,86,75.3,86.4,76,105.6,75.4,79.7,65.3,57.8,69.2,79.6,86.5,78.9,78.9,83.4,80,82.4,90.1,76.5,80,63.5,72.4,72.4,82.5,84.2,84.2,72.1,75.2,75.3,90.1,87.2,85.3,88.2,80.7,81.9,78.2,77.9,77.9,90.4,81.1,79.4,97.8,80.6,76.4,86.8,82.3,75.9,77.5,70.9,134.3,84.7,79.4,85.6,87.2,83.3,85.9,75.5,69.4,80,77.7,63.1,79.5,77.3,72.4,76.4,73.1,84.4,83.7,77.4,67.2,59.4,106.7,98.1,,117.5,88.2,74.5,47.5,90.4,50.1,120.3,102.8,70,94.5,56.8,140.7,103.4,71.3,84.9,51.4,72.4,69.1,91.2,99.6,102.9,72.7,56.8,78,88.1,62.9,84.6,,73.1,63.4,78.6,58.2,82.5,76,81.9,68.7,,78,72.2,70.2,73.9,90.7,81.2,51.4,77.4,81.7,88,76.7,91.1,77.4,87.2,66.5,99.3,82.4,83.4,78.9,,131.2,,74.3,56.2,83.3,81.2,82.9,82.4,78.1,78.1,109.2,55.2,122.3,92.7,114.2,85.5,74.5,96.1,96.2,82.8,75.1,,,104.7,64.3,79.1,94.1,75.8,75.7,77.9,77.9,92.9,72.5,70.6,75.2,88.9,76.9,73.5,80.3,70.5,82.1,,173.1,100.1,80.3,88.8,70.1,46.4,51.1,56.6,,72.3,64.3,93.9,80.6,78.7,85.1,71.6,82.1,77.2,82.5,81.5,60.7,78.6,,81.3,66.2,56.3,,103.6,68.3,89.6,89.2,92.8,84,84.1,83.8
202210,77.8,79.9,75.6,85.3,86.7,89,78.6,84,65,80.6,92.7,79.8,89.3,80.4,79.8,83.9,79.2,92.9,79.2,69.7,91.6,88.3,92,92.1,88.7,85.4,97,80.2,81.3,76.5,86.3,75.7,74.4,71.4,83.9,97.6,85.9,78.9,76.5,80.8,76.6,74.3,68.1,84.9,76.8,85.3,73.9,74.1,80.4,,72.8,77.7,84.3,81,72.4,65.8,72.5,82.6,76.2,71.9,70,97,66.1,75.6,79.7,74.2,101.9,69.1,76.6,64.4,82.3,73.9,76.2,80.5,90,72.2,77.6,74.5,80.2,83.9,73.9,82,81.2,62.1,62.1,80.8,84.4,74.2,70.1,101.5,72.4,89.7,78.6,84.9,84.4,80.6,82.3,77.1,77.5,67.7,85.4,81.7,77.9,72.7,78.3,78,81.4,81.9,73.8,75.3,76.4,135,86.8,81.3,74.4,86.2,91.3,93.8,75.9,70.4,81.5,80.3,61.8,79.1,77.1,76.1,75.3,73.9,87.1,76.2,74.4,75.8,60.1,105.4,89,,135.7,86.5,74.8,58.6,90.6,64.1,98.3,102.8,70,61.7,51.7,98,89.5,71.1,84.1,48.7,83.6,66.6,88.4,81.3,98.9,84.6,50.5,78,87.8,66.8,79.3,72.2,69.7,70.8,75.3,52.6,106.3,67.2,68.1,68.7,,65,62.5,,54.4,,80.9,49.5,94.3,77.3,81.7,75.6,89,60.2,99.1,66.6,94.2,88.7,53.8,71.2,,75.9,,80.2,77.9,81.5,75,79.5,79.9,83.5,81.1,110.3,55.2,112.3,85.1,114.2,87.2,82.5,112.3,86.1,80.1,78.1,,,88.3,106.1,98.3,94.2,74.8,79.2,76.8,76.3,80.6,84,67.5,73.5,71.4,75.2,76,79.1,60.5,80.8,,126.9,74.1,87.5,81.4,73.5,56.8,51.1,101,,71,61.8,90,84.7,72.1,76.5,69.5,74.9,75.2,76.8,83.3,63,76.8,,81.8,67.3,55,,103.6,,76.4,86.7,63.2,83.4,84.3,82.1
202211,76.2,78,74.2,81.8,85.3,84.7,87.5,82.1,60,72.6,85.2,73.3,84.2,75.4,89.7,72,71.3,90.7,71.4,68.6,85,82,111.5,89.4,81,72.4,96.2,80.1,78.7,75.7,83.9,76.5,77.5,71.7,86.2,97.6,88.7,81.9,72.5,71.2,74.9,74.7,70.5,85.1,79.2,81.2,82.2,74.5,80.4,,74.7,77.7,83.4,80.7,69.1,,82.4,76.5,74.5,74.2,62.4,85.7,73.9,74,76,70.9,94.1,69.1,79.3,61.8,54.6,72.5,73.7,74.8,90.4,71.6,74.1,72.3,71.6,80.7,75,86.6,74.4,54.7,54.7,75.6,52.5,77,72.8,98.9,67.9,68,77.6,84.4,83.8,80.4,78.6,73.6,71.8,72.8,83.6,60.4,75.7,70.2,76.9,70.6,74.8,78.7,77.9,71.9,82.2,135,81,73.9,78.7,85.4,83.7,77.6,76.1,73.4,84.1,78.6,61.2,76.7,72.6,68.2,75.9,69.7,84.4,69,80.5,82.3,69.3,100,87.9,81.7,98.1,83.2,66.6,71.4,83.6,61.2,89.4,100.1,70,64,74.4,99.9,91.3,75,83.4,77.6,81.8,64.3,79.6,75.8,99.7,66.5,45.1,78,81.8,65.9,77.3,72.2,72.6,71.5,79.2,81.1,80.3,76,71.4,70,71.3,63.4,62.5,,72,,84.6,54.3,84.4,79.4,88.8,86.8,87.1,52.8,104.4,96.1,101.4,79.9,63.8,,,75.9,45.1,80.7,80.6,79.2,72.3,77,80.5,75.6,85.1,82.1,140.1,77.3,78.6,,87.3,82.5,105.3,86.1,74.7,81.9,,,,90.8,99.9,,73.2,77.7,76.1,76.1,77.8,82.3,65.4,71.1,68.3,,76.7,78.8,60.5,61.7,,110.6,,70.5,80.7,68.6,,51.1,76.6,,69.7,70.6,84.7,92.3,70.7,77.8,71.8,73.6,68.5,64.9,84.7,61.4,77.9,,86,73.9,54.1,121.5,,,,88.6,57.3,80.9,83.8,72.6
202212,74.9,76.7,72.8,81.5,76.3,86.8,89.6,82.1,59.1,96.6,84.7,72.7,82.1,70,84.7,70.4,69.5,84.7,77.2,71.7,80.6,78.3,81.4,86.5,78.3,76.5,96.7,93.3,80.6,74,72.6,77.7,84.4,80.9,74,79.2,88.2,78.8,73.1,69.1,73.9,67.2,78,82.8,75.8,71.9,81,53.4,72.6,,75.4,74.4,78.6,73.6,74.5,,82,72.8,77,74.9,61.5,83.2,71.1,76.5,75.8,72.9,80.6,63.4,84.3,61.8,47.9,79.1,70.5,75.3,98.2,67.4,70.4,69.6,70.5,78.2,70.8,92.1,74.4,56.3,56.3,74.8,58.1,76.2,73.1,100.5,72.3,84.5,75,79.7,72.7,77.3,71.2,72.3,73.7,76.4,77.6,57,74.6,60.4,79.9,74.1,68,76.1,77.6,71.5,72.1,,77.7,70.7,82.5,79.7,73.4,77.5,74.7,71,80,76.1,62.9,78.5,73.8,70.3,80.1,67.7,83.4,71.3,79,82.9,70.3,75.5,89.5,81.7,107.7,83,69.8,52.9,71.5,62.1,81.1,74.6,70,76.2,98.2,95.1,91.3,71.7,73.8,83,71.8,67,74.4,72.9,43.2,,36.3,,76.8,68.6,72.8,72.8,70.4,68.2,80.5,70.2,85.9,69.6,68.1,82.3,71.3,57.4,55.9,47.1,71.8,49.5,81.3,69.5,77.4,76.4,78.8,82.6,81.9,50.9,99.8,86.2,93.2,90.3,60.6,49.1,,94.1,49.1,80.7,75.8,77.4,72.3,72.5,82.4,74.9,86.1,70,,77.3,73.4,,76,84.5,89.3,76.4,68.8,102.2,,,64.8,95.6,84.1,,70.7,76.2,79.8,53.4,74.8,84.9,68.2,87.6,69.1,,77.2,80,49,,61.9,106.1,,67.7,79,79.5,75.2,,55,,68.2,68.7,77.3,79,63.1,66.6,72.7,68.3,61.2,71.9,73.7,59.2,79.6,84,86.3,85.8,58.4,84.8,39.1,,,85.4,,80.4,84,70.9
202301,73.4,74.6,71.9,77.3,75.5,76.9,73.3,96,89.9,77,73.6,73.4,69.6,68.3,70.2,70.5,63.7,77.1,76.5,69.1,78.6,69.8,79.1,78,70.6,75.3,92.3,101,76.5,72.9,70.1,73.9,83.3,90.7,70.9,,83.3,75,75.6,78.8,74.6,74,71.8,75.9,76,70.9,74,50.7,73.8,,71.9,72.5,78.1,74.6,62.9,,72.4,70.2,82.8,65.9,57,78.7,79.1,74.8,73.3,74.1,76.1,85.9,82,38.5,47.8,73.2,69.9,74.2,83.3,67.1,74.2,66.1,69.7,76,70.5,74,74.5,65.3,65.3,70.7,56.8,71.6,57.2,63.5,70.3,88.6,71.1,74.4,72.8,73.7,69.1,70.8,64.5,78.6,75.1,58.6,72.5,67.3,82.6,68.5,65.1,72.2,74,68.3,73,,78.4,71.9,80.8,81,76.2,78.3,72,67.3,69.7,75.7,69.1,80.4,70.4,61.3,77.1,66.7,73.7,71.7,78.4,84.5,75.1,65.1,89.2,81.7,95.9,82.8,71.4,37,80,49.3,62.9,74.6,,81.7,95.5,,92.7,72.3,76,79.6,72.1,66,66.6,79.5,117.6,118.9,50,,75.8,43.9,79.4,85.2,71.9,77.4,75.5,73.1,86.1,71.6,75.3,83.9,,71.2,52.6,47.1,73.9,56.8,68.1,60.3,66.6,78,77.7,80.3,72.6,83.6,94.7,94.2,80.6,83.4,68.2,49.1,70.5,96.3,49.1,81.4,76.5,79.2,75.8,68,83.4,76,78.9,70.2,115.6,,68.5,,80.2,,89.3,107.9,68.4,84.9,,75.9,64.8,74.1,91.7,,66.1,73.2,75.9,54.2,75.5,57.2,70.3,66,62.9,74.9,67.3,79.1,,,61.9,99.7,85.2,57.8,72,60,61.6,,65.6,,68.3,72,74.9,78.5,66.5,66.1,73.7,72,63.5,65.3,86,58.9,74.2,84,82.3,84.1,55.2,69.4,55.9,,65.3,,,78.1,78.5,76.8
202302,71.9,72.5,71.2,75.7,64.9,71.9,72.2,89.9,74.3,77,76.9,72,70.4,60.5,67,68.9,73.9,75.7,74.7,67.9,75.1,65.9,79.2,74,69.1,71.9,88.2,111.9,80.6,69.6,73.6,67.7,84.5,74.8,74.2,57.4,76,66.7,76.6,97.1,71.8,69.7,,74.5,78.5,67,72.3,51.9,72.2,,71.8,71.6,63.9,69.9,57.9,77,77.9,59.1,75.7,61.2,67,79.2,76.8,74.1,72.4,73.2,62.3,67.7,76.4,38.5,54.6,76.5,69.5,75.7,68.9,67.2,73.5,63.7,69.5,73,71.3,72.5,74.7,68.8,68.8,71,59.8,73.3,56.4,68.3,71.3,85.9,69.2,69.5,72.1,68.5,76.7,74,65.1,70.1,71.2,73.7,68.6,68.6,75.2,72.6,65.4,71,71.2,65,59,,76.4,74.6,78.9,76.4,75.4,77.1,74.7,71.9,71,76.4,75.4,80.7,69,72.3,71,67.6,69.4,67.1,76.7,89.2,68,62.8,89.8,,95.5,85.6,75.8,49.8,80.4,74.5,61.5,72.7,,80.1,101.9,,,70.4,68.7,73.7,71.4,55.2,70.6,81.6,117.6,115.6,55.8,,69.2,54,80.1,99.6,67.2,76.6,66.2,62.3,95.1,68.3,76.6,51.7,57.5,61.3,53.4,47.1,72.5,56.8,71.3,50.7,68.8,75.9,77.7,76.3,73.4,81.6,88.5,69.6,74.6,79.1,63.6,57.7,70.5,70.2,52.5,,70.3,75.5,74.3,65.9,79.8,78.2,76.7,70.2,57.4,,68.5,,74.2,213.4,95.2,39.3,68.8,86.3,,75,86.5,69.8,91.7,,69,74.4,77.3,60.2,75,57.3,70.9,87.2,59.1,85.1,,77.6,,,61.9,68.9,85.8,,56.1,61.6,61.6,,63.8,,68.5,75.6,73.7,73.4,79.9,64.6,71.5,60.3,68.7,71.5,63.3,56.8,73.9,84,74.4,79.1,60.2,59.7,55.9,77.6,66.1,90.7,49.1,76.9,78.7,69.6
202303,71.5,72.6,70,76.6,68.5,74,75,89.9,82,79,76.4,72.2,74.6,63.3,68.9,66.7,73.9,96.2,72.8,66.9,70.3,68.3,84.9,72.7,70.3,77.4,85.6,94.2,80.6,68.8,75.6,66.8,82.3,64.7,100.3,69.8,74.2,69.3,77.3,97.1,71,69.2,74.9,63.9,78.1,59.7,69.1,64.2,72.4,,71.4,72.1,58.5,74.3,57.9,77,69.4,58.7,74.5,63.7,55.6,81.8,78,73,72.1,69.5,62,80.6,69.7,,49.3,71.6,68.8,73.2,68.9,64.2,73.8,65.5,69.5,75.8,71.6,67.1,71.6,69.2,69.2,68.3,56.4,73.9,54,65,68.1,72.2,71.2,71,67.7,73.5,72.1,73.1,70.6,58.1,71.1,76.6,67.2,80.2,73.7,71.7,66.2,70.6,66.8,61.8,55.8,,75,71.2,77.7,74.7,76,73.9,75.6,73.2,78.4,76.5,75,78.7,67.2,70.3,72.5,64.7,65.8,66.1,74.9,81.4,67.7,65.2,90.2,39.7,95.9,59.8,86.1,57.7,100,77.6,43.2,,,73.8,104,111.7,,76,87.3,70.7,76.5,72.8,75.8,79.7,117.6,115.6,67.3,83.5,83.2,58.3,74.6,101.3,64.7,67.6,71.3,64.1,87.5,73.7,76.9,51,57.5,50.5,60.7,106,72.5,73.8,72.3,50.2,64.8,75.1,82.2,73.1,74.1,73.4,96.1,60.2,77.9,76,68.7,87.4,70.5,61.9,,,69.8,73.9,71.9,66.1,78,74.6,75.1,69.9,57.7,89.7,67.8,87.4,77.4,213.4,125.7,75.3,66.7,79.6,,76.3,106.5,63.1,74.1,60.8,68,63.1,79.2,59.4,72.7,66.1,69.7,73.8,50,80.7,101.3,75.4,,,,4.3,85.1,,59.3,56.2,59.9,106.2,112.7,,67.5,72.3,72.1,75.3,79.2,70.4,70.5,65.5,68.5,70.1,57.1,54.8,73.5,,70.8,60,72.3,47.1,101.7,77.1,65.5,68.8,59.1,72,75.8,65.1
202304,71.5,72,70.8,75.8,69.8,76.1,95.6,96.6,82.1,82.5,70.9,76,76.8,67.4,64.9,63.8,77.1,102,72,66.9,67.7,73.6,95.2,70.7,72.8,73.2,81.4,79.3,81,69.5,77.5,70.5,77.3,76.6,100.3,69.8,79.2,67.1,77,64.4,71.5,69.9,79.4,62.7,67.5,61.4,72.4,65.2,71.2,,67.1,72.1,64.5,73.8,,74,70.6,63.8,74.3,71.4,54.3,78.7,82.1,73.3,71.6,70.6,63.1,68.8,71.1,25.4,50.4,73.4,69.3,76.8,58.5,68.2,71,67.1,67.7,72.9,72.3,45.8,64.3,71.2,71.2,68.4,56,75,61.4,66.7,67.1,68.1,73.8,73.3,68.8,76.2,64.9,73.8,73.4,62.4,76.5,63.9,68.1,60.8,71.4,67.5,70.7,71.6,68.7,66.9,57.3,,74.6,72.1,77.8,72.5,76.6,72.5,76,74.6,77,74.6,76.8,78.4,68.4,64.6,79,66,71,66.2,75.3,79.7,64.4,81.4,87.3,39.7,83.2,59.8,84.3,61,74.7,71.7,85.4,,,73.8,97.7,107.4,,74.3,90.7,71.5,73.5,74.2,77.9,70,100.4,86,60.1,83.5,90.1,59.2,70.9,142,66.4,75.3,65.7,50.3,89.4,69.6,79.9,51.2,57.5,59.9,60.6,106,,100,80.1,50.2,65.7,76.3,78,75.4,77.7,76.1,88.8,63.2,77.9,74.9,79.4,87.4,,58.2,,,74.3,76.4,73.4,73.1,72.1,75.4,80.2,95,36.1,89.7,81,98.2,78.9,178.4,134,72.9,66,66.6,65.6,81.3,111.3,75.6,83.7,60.8,72.5,62.3,78.5,69.5,69.8,85.7,70,65.2,76.3,92.5,104.1,74.8,,,,4.3,80.1,81,,77.9,87.1,106.2,100.8,,69,70.5,71.9,74.8,82.1,75.6,76.1,63.8,61.9,77,61.7,54.8,77.4,,69.6,58.8,67.9,62,91.8,77.9,57.5,89.4,61,68.2,76.8,60.6
