춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군
77 ,58 ,110 ,99 ,96 ,116 ,81 ,82 ,,89 ,51 ,98 ,103 ,70 ,95 ,76 ,134 ,102 
67 ,59 ,107 ,98 ,,118 ,88 ,75 ,48 ,90 ,50 ,120 ,103 ,70 ,95 ,57 ,141 ,103 
76 ,60 ,105 ,89 ,,136 ,87 ,75 ,59 ,91 ,64 ,98 ,103 ,70 ,62 ,52 ,98 ,90 
82 ,69 ,100 ,88 ,82 ,98 ,83 ,67 ,71 ,84 ,61 ,89 ,100 ,70 ,64 ,74 ,100 ,91 
83 ,70 ,76 ,90 ,82 ,108 ,83 ,70 ,53 ,72 ,62 ,81 ,75 ,70 ,76 ,98 ,95 ,91 
85 ,75 ,65 ,89 ,82 ,96 ,83 ,71 ,37 ,80 ,49 ,63 ,75 ,,82 ,96 ,,93 
89 ,68 ,63 ,90 ,,96 ,86 ,76 ,50 ,80 ,75 ,62 ,73 ,,80 ,102 ,,
81 ,68 ,65 ,90 ,40 ,96 ,60 ,86 ,58 ,100 ,78 ,43 ,,,74 ,104 ,112 ,
80 ,64 ,81 ,87 ,40 ,83 ,60 ,84 ,61 ,75 ,72 ,85 ,,,74 ,98 ,107 ,
78 ,79 ,78 ,95 ,86 ,82 ,65 ,62 ,64 ,69 ,56 ,88 ,,,,121 ,104 ,
