수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군
92 ,81 ,83 ,90 ,90 ,91 ,85 ,88 ,84 ,86 ,86 ,87 ,68 ,104 ,85 ,86 ,79 ,64 ,80 ,,70 ,70 ,89 ,91 ,82 ,75 ,84 ,85 ,84 ,88 ,81 ,92 ,89 ,84 ,85 ,75 ,74 ,77 ,88 ,92 ,53 ,73 
95 ,80 ,75 ,86 ,99 ,98 ,83 ,85 ,78 ,82 ,82 ,84 ,68 ,104 ,82 ,79 ,70 ,65 ,83 ,,72 ,78 ,85 ,88 ,72 ,78 ,80 ,85 ,85 ,74 ,69 ,96 ,86 ,75 ,86 ,76 ,106 ,75 ,80 ,65 ,58 ,69 
86 ,76 ,74 ,71 ,84 ,98 ,86 ,79 ,77 ,81 ,77 ,74 ,68 ,85 ,77 ,85 ,74 ,74 ,80 ,,73 ,78 ,84 ,81 ,72 ,66 ,73 ,83 ,76 ,72 ,70 ,97 ,66 ,76 ,80 ,74 ,102 ,69 ,77 ,64 ,82 ,74 
84 ,77 ,78 ,72 ,86 ,98 ,89 ,82 ,73 ,71 ,75 ,75 ,71 ,85 ,79 ,81 ,82 ,75 ,80 ,,75 ,78 ,83 ,81 ,69 ,,82 ,77 ,75 ,74 ,62 ,86 ,74 ,74 ,76 ,71 ,94 ,69 ,79 ,62 ,55 ,73 
73 ,78 ,84 ,81 ,74 ,79 ,88 ,79 ,73 ,69 ,74 ,67 ,78 ,83 ,76 ,72 ,81 ,53 ,73 ,,75 ,74 ,79 ,74 ,75 ,,82 ,73 ,77 ,75 ,62 ,83 ,71 ,77 ,76 ,73 ,81 ,63 ,84 ,62 ,48 ,79 
70 ,74 ,83 ,91 ,71 ,,83 ,75 ,76 ,79 ,75 ,74 ,72 ,76 ,76 ,71 ,74 ,51 ,74 ,,72 ,73 ,78 ,75 ,63 ,,72 ,70 ,83 ,66 ,57 ,79 ,79 ,75 ,73 ,74 ,76 ,86 ,82 ,39 ,48 ,73 
74 ,68 ,85 ,75 ,74 ,57 ,76 ,67 ,77 ,97 ,72 ,70 ,,75 ,79 ,67 ,72 ,52 ,72 ,,72 ,72 ,64 ,70 ,58 ,77 ,78 ,59 ,76 ,61 ,67 ,79 ,77 ,74 ,72 ,73 ,62 ,68 ,76 ,39 ,55 ,77 
76 ,67 ,82 ,65 ,100 ,70 ,74 ,69 ,77 ,97 ,71 ,69 ,75 ,64 ,78 ,60 ,69 ,64 ,72 ,,71 ,72 ,59 ,74 ,58 ,77 ,69 ,59 ,75 ,64 ,56 ,82 ,78 ,73 ,72 ,70 ,62 ,81 ,70 ,,49 ,72 
78 ,71 ,77 ,77 ,100 ,70 ,79 ,67 ,77 ,64 ,72 ,70 ,79 ,63 ,68 ,61 ,72 ,65 ,71 ,,67 ,72 ,65 ,74 ,,74 ,71 ,64 ,74 ,71 ,54 ,79 ,82 ,73 ,72 ,71 ,63 ,69 ,71 ,25 ,50 ,73 
74 ,73 ,73 ,79 ,,83 ,80 ,69 ,78 ,71 ,75 ,67 ,82 ,60 ,65 ,64 ,72 ,65 ,71 ,10 ,71 ,72 ,68 ,74 ,73 ,71 ,60 ,78 ,76 ,74 ,56 ,77 ,82 ,72 ,71 ,72 ,68 ,68 ,71 ,25 ,46 ,75 
