창원의창구,창원성산구,창원마산합포구,창원마산회원구,창원진해구,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군
63 ,84 ,85 ,75 ,87 ,70 ,79 ,73 ,83 ,74 ,62 ,78 ,,82 ,66 ,57 ,77 ,104 ,68 ,93 ,82 ,97 
64 ,94 ,81 ,79 ,85 ,72 ,82 ,77 ,83 ,82 ,61 ,79 ,,81 ,66 ,56 ,,104 ,68 ,90 ,89 ,93 
62 ,90 ,85 ,72 ,77 ,70 ,75 ,75 ,77 ,83 ,63 ,77 ,,82 ,67 ,55 ,,104 ,,76 ,87 ,63 
71 ,85 ,92 ,71 ,78 ,72 ,74 ,69 ,65 ,85 ,61 ,78 ,,86 ,74 ,54 ,122 ,,,,89 ,57 
69 ,77 ,79 ,63 ,67 ,73 ,68 ,61 ,72 ,74 ,59 ,80 ,84 ,86 ,86 ,58 ,85 ,39 ,,,85 ,
72 ,75 ,79 ,67 ,66 ,74 ,72 ,64 ,65 ,86 ,59 ,74 ,84 ,82 ,84 ,55 ,69 ,56 ,,65 ,,
76 ,74 ,73 ,80 ,65 ,72 ,60 ,69 ,72 ,63 ,57 ,74 ,84 ,74 ,79 ,60 ,60 ,56 ,78 ,66 ,91 ,49 
72 ,72 ,75 ,79 ,70 ,71 ,66 ,69 ,70 ,57 ,55 ,74 ,,71 ,60 ,72 ,47 ,102 ,77 ,66 ,69 ,59 
71 ,72 ,75 ,82 ,76 ,76 ,64 ,62 ,77 ,62 ,55 ,77 ,,70 ,59 ,68 ,62 ,92 ,78 ,58 ,89 ,61 
70 ,72 ,74 ,82 ,78 ,76 ,74 ,65 ,76 ,62 ,61 ,78 ,102 ,77 ,53 ,65 ,64 ,92 ,72 ,58 ,71 ,78 
