종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
82 ,91 ,104 ,,92 ,86 ,82 ,88 ,88 ,90 ,86 ,85 ,80 ,91 ,89 ,73 ,93 ,80 ,91 ,110 ,99 ,118 ,101 ,90 ,94 
85 ,68 ,97 ,,85 ,80 ,84 ,91 ,86 ,87 ,81 ,85 ,84 ,92 ,84 ,73 ,93 ,94 ,90 ,91 ,94 ,101 ,97 ,60 ,90 
87 ,89 ,79 ,84 ,65 ,81 ,93 ,80 ,89 ,80 ,80 ,84 ,79 ,93 ,79 ,70 ,92 ,88 ,92 ,92 ,89 ,85 ,97 ,80 ,81 
85 ,85 ,88 ,82 ,60 ,73 ,85 ,73 ,84 ,75 ,90 ,72 ,71 ,91 ,71 ,69 ,85 ,82 ,112 ,89 ,81 ,72 ,96 ,80 ,79 
76 ,87 ,90 ,82 ,59 ,97 ,85 ,73 ,82 ,70 ,85 ,70 ,70 ,85 ,77 ,72 ,81 ,78 ,81 ,87 ,78 ,77 ,97 ,93 ,81 
76 ,77 ,73 ,96 ,90 ,77 ,74 ,73 ,70 ,68 ,70 ,71 ,64 ,77 ,77 ,69 ,79 ,70 ,79 ,78 ,71 ,75 ,92 ,101 ,77 
65 ,72 ,72 ,90 ,74 ,77 ,77 ,72 ,70 ,61 ,67 ,69 ,74 ,76 ,75 ,68 ,75 ,66 ,79 ,74 ,69 ,72 ,88 ,112 ,81 
69 ,74 ,75 ,90 ,82 ,79 ,76 ,72 ,75 ,63 ,69 ,67 ,74 ,96 ,73 ,67 ,70 ,68 ,85 ,73 ,70 ,77 ,86 ,94 ,81 
70 ,76 ,96 ,97 ,82 ,83 ,71 ,76 ,77 ,67 ,65 ,64 ,77 ,102 ,72 ,67 ,68 ,74 ,95 ,71 ,73 ,73 ,81 ,79 ,81 
75 ,78 ,93 ,69 ,89 ,83 ,71 ,77 ,77 ,75 ,65 ,68 ,79 ,76 ,76 ,65 ,70 ,76 ,91 ,70 ,72 ,76 ,80 ,79 ,74 
