서울특별시,경기도,인천광역시,세종특별자치시,부산광역시,대구광역시,광주광역시,대전광역시,울산광역시,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
92 ,80 ,82 ,77 ,87 ,80 ,86 ,80 ,82 ,82 ,83 ,78 ,81 ,84 ,76 ,73 ,86 
88 ,79 ,80 ,72 ,83 ,79 ,85 ,76 ,77 ,77 ,71 ,73 ,82 ,83 ,76 ,72 ,84 
85 ,77 ,76 ,62 ,81 ,78 ,87 ,76 ,77 ,74 ,71 ,70 ,77 ,82 ,75 ,71 ,83 
82 ,76 ,74 ,55 ,76 ,76 ,81 ,76 ,73 ,81 ,75 ,73 ,79 ,79 ,73 ,70 ,81 
82 ,74 ,71 ,56 ,75 ,75 ,78 ,75 ,74 ,79 ,72 ,70 ,76 ,77 ,71 ,68 ,80 
77 ,73 ,70 ,65 ,71 ,73 ,78 ,72 ,70 ,78 ,72 ,72 ,78 ,79 ,66 ,68 ,78 
76 ,70 ,70 ,69 ,71 ,69 ,76 ,75 ,69 ,77 ,70 ,67 ,76 ,76 ,69 ,69 ,77 
77 ,69 ,69 ,69 ,68 ,67 ,75 ,76 ,67 ,75 ,76 ,65 ,75 ,74 ,68 ,68 ,72 
76 ,70 ,69 ,71 ,68 ,68 ,75 ,76 ,68 ,75 ,74 ,66 ,76 ,76 ,73 ,69 ,68 
76 ,70 ,69 ,72 ,68 ,71 ,74 ,76 ,70 ,77 ,75 ,66 ,75 ,76 ,72 ,71 ,70 
