전주완산구,전주덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군
88 ,73 ,88 ,83 ,86 ,67 ,88 ,94 ,83 ,79 ,,131 ,,74 ,54 
88 ,77 ,91 ,77 ,87 ,67 ,99 ,82 ,83 ,79 ,,131 ,,74 ,56 
82 ,76 ,89 ,60 ,99 ,67 ,94 ,89 ,54 ,71 ,,76 ,,80 ,78 
89 ,87 ,87 ,53 ,104 ,96 ,101 ,80 ,64 ,,,76 ,45 ,81 ,81 
79 ,83 ,82 ,51 ,100 ,86 ,93 ,90 ,61 ,49 ,,94 ,49 ,81 ,76 
78 ,80 ,73 ,84 ,95 ,94 ,81 ,83 ,68 ,49 ,71 ,96 ,49 ,81 ,77 
78 ,76 ,73 ,82 ,89 ,70 ,75 ,79 ,64 ,58 ,71 ,70 ,53 ,,70 
82 ,73 ,74 ,73 ,96 ,60 ,78 ,76 ,69 ,87 ,71 ,62 ,,,70 
78 ,75 ,78 ,76 ,89 ,63 ,78 ,75 ,79 ,87 ,,58 ,,,74 
73 ,75 ,74 ,77 ,86 ,63 ,82 ,72 ,74 ,89 ,,77 ,88 ,98 ,77 
