청주상당구,청주서원구,청주흥덕구,청주청원구,충주시,제천시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군
85 ,85 ,71 ,78 ,96 ,99 ,96 ,69 ,65 ,70 ,84 ,84 ,87 ,81 
85 ,51 ,72 ,69 ,91 ,100 ,103 ,73 ,57 ,78 ,88 ,63 ,85 ,
84 ,49 ,84 ,67 ,88 ,81 ,99 ,85 ,51 ,78 ,88 ,67 ,79 ,72 
83 ,78 ,82 ,64 ,80 ,76 ,100 ,67 ,45 ,78 ,82 ,66 ,77 ,72 
74 ,83 ,72 ,67 ,74 ,73 ,43 ,,36 ,,77 ,69 ,73 ,73 
76 ,80 ,72 ,66 ,67 ,80 ,118 ,119 ,50 ,,76 ,44 ,79 ,85 
69 ,74 ,71 ,55 ,71 ,82 ,118 ,116 ,56 ,,69 ,54 ,80 ,100 
87 ,71 ,77 ,73 ,76 ,80 ,118 ,116 ,67 ,84 ,83 ,58 ,75 ,101 
91 ,72 ,74 ,74 ,78 ,70 ,100 ,86 ,60 ,84 ,90 ,59 ,71 ,142 
84 ,77 ,77 ,74 ,76 ,71 ,100 ,88 ,74 ,84 ,79 ,56 ,72 ,
