시도,전국,수도권,지방,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,세종특별자치시,세종특별자치시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,광주광역시,광주광역시,광주광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,울산광역시,울산광역시,울산광역시,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,제주특별자치도
시군구,소계,소계,소계,소계,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,소계,수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군,소계,중구,동구,미추홀구,연수구,남동구,부평구,계양구,서구,강화군,옹진군,소계,세종특별자치시,소계,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군,소계,중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군,소계,동구,서구,남구,북구,광산구,소계,동구,중구,서구,유성구,대덕구,소계,중구,남구,동구,북구,울주군,소계,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군,소계,청주상당구,청주서원구,청주흥덕구,청주청원구,충주시,제천시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군,소계,천안동남구,천안서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군,소계,전주완산구,전주덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군,소계,목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군,소계,포항남구,포항북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군,소계,창원의창구,창원성산구,창원마산합포구,창원마산회원구,창원진해구,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군,소계,제주시,서귀포시
202208,"3,688","1,371","2,317",401,2,1,4,,4,5,12,18,32,16,11,39,21,13,30,72,14,27,11,16,23,14,4,6,6,687,10,28,18,4,3,2,9,19,8,4,55,3,44,5,41,13,19,24,21,,3,30,11,19,5,5,9,15,12,4,5,40,17,23,23,68,7,12,12,1,12,24,283,11,8,73,8,62,35,25,50,5,6,12,12,260,15,6,7,6,29,16,18,18,31,31,13,3,11,19,19,18,120,3,23,7,10,27,12,16,22,2,103,9,15,26,26,27,41,11,9,8,3,10,107,13,17,25,21,31,107,19,17,16,11,2,4,6,8,,3,2,5,1,1,1,3,5,3,187,9,20,18,41,15,22,3,6,22,6,3,3,16,3,184,26,59,7,2,26,14,11,,14,1,1,4,2,4,8,5,168,29,22,37,21,4,31,3,9,1,2,,1,,1,7,142,39,5,11,5,29,4,,3,1,3,4,,5,4,11,10,,,2,,1,5,318,43,51,36,21,14,41,12,6,6,2,22,1,4,,2,5,3,5,25,3,2,12,,477,15,12,21,29,13,68,22,21,64,14,99,45,,15,9,8,1,1,2,5,3,10,91,59,32
202209,"3,523","1,263","2,260",344,4,2,5,,5,5,10,15,23,17,8,28,10,10,24,59,16,17,7,24,27,11,7,4,6,679,9,29,16,6,4,3,7,16,11,7,49,4,42,4,32,16,19,22,19,,4,35,11,18,5,3,13,14,13,5,29,26,11,23,27,61,4,13,14,2,9,24,240,6,6,60,5,52,27,21,50,8,5,10,10,259,12,4,12,10,44,20,15,17,25,22,11,5,10,19,13,20,125,3,25,7,13,34,11,16,16,2,111,12,16,26,28,29,38,9,11,7,2,9,101,21,18,23,17,22,101,17,24,14,11,,3,3,7,1,4,3,2,1,1,1,3,4,2,176,12,25,18,31,13,14,3,5,34,1,3,3,14,,196,24,65,6,2,21,17,13,,18,1,1,3,1,7,14,3,156,24,25,29,19,7,25,5,9,1,2,,1,,1,8,147,30,26,9,4,24,4,2,2,3,2,6,3,5,5,8,8,,,2,1,1,2,304,33,41,34,21,8,57,14,5,5,3,24,2,4,,1,5,5,5,27,2,1,5,,452,21,7,18,27,14,60,23,21,59,20,106,32,,9,11,9,,1,2,5,2,5,84,56,28
202210,"3,408","1,206","2,202",328,6,2,3,1,6,3,12,11,16,11,7,20,9,10,22,66,13,15,4,27,28,11,12,6,7,672,7,29,3,4,5,2,6,14,11,9,46,6,42,4,27,16,17,20,16,,6,41,12,22,5,2,11,16,13,6,45,16,26,28,26,51,5,12,9,3,8,25,206,2,4,46,7,39,27,25,46,7,3,7,7,263,5,3,12,21,43,19,11,16,21,34,10,6,11,17,16,18,118,3,28,5,10,30,9,20,13,1,79,11,14,25,17,12,66,11,24,9,6,16,116,23,18,29,20,26,109,20,31,8,12,,3,3,5,2,4,6,3,1,2,3,1,4,1,166,11,23,13,29,18,17,4,3,15,1,4,4,23,1,189,29,53,6,2,17,22,12,,19,3,,3,,5,14,4,149,21,19,26,20,6,25,9,9,2,1,,1,,2,8,131,42,9,10,4,12,3,2,3,7,2,4,3,2,4,8,7,,,1,2,5,1,303,29,36,27,42,10,63,9,8,3,5,22,2,3,,1,5,4,4,24,3,1,1,,437,15,9,10,26,14,58,27,24,46,18,110,40,,8,12,8,,1,,2,6,3,69,44,25
202211,"3,321","1,220","2,101",310,14,6,4,3,5,2,15,12,8,11,6,9,7,10,16,47,12,14,1,29,38,12,14,8,7,676,7,12,11,5,3,2,4,14,9,8,54,4,36,9,14,17,17,16,13,,3,47,10,18,4,,9,15,13,11,35,9,78,22,34,47,6,7,13,1,10,29,234,6,3,72,6,53,21,21,43,7,2,14,14,250,7,8,15,22,38,15,10,13,14,30,8,5,9,10,16,30,106,1,18,5,8,29,13,24,8,1,62,7,14,12,14,15,66,9,20,12,7,18,128,24,22,34,19,29,125,18,28,10,13,17,4,1,4,1,4,8,2,1,1,4,2,4,3,163,16,21,9,22,16,11,3,1,27,1,12,4,19,1,212,36,50,4,4,20,39,6,1,18,3,,6,,4,15,6,117,16,22,19,21,6,3,7,8,2,,,1,2,3,7,103,33,5,9,4,5,1,1,1,5,,3,3,3,4,11,6,,,,5,4,,293,31,24,30,47,12,65,6,12,,5,24,2,1,,2,,5,7,15,,1,3,,421,15,7,11,25,16,44,23,22,42,14,122,49,,5,9,9,1,,,,5,2,41,31,10
202212,"3,193","1,211","1,982",315,13,5,2,3,3,1,14,10,8,9,4,9,8,13,21,55,11,19,4,21,39,14,12,6,11,653,6,18,8,4,3,1,4,10,4,5,55,5,32,8,22,21,11,17,12,,3,42,9,21,1,,6,18,13,8,30,14,69,24,39,43,6,4,16,1,9,31,243,8,4,81,8,54,16,23,44,3,2,13,13,217,10,9,11,20,16,16,10,15,12,36,11,3,8,6,11,23,94,2,13,7,5,24,15,18,10,,65,9,11,12,17,16,76,10,21,18,9,18,110,19,14,35,20,22,138,14,27,9,18,17,5,2,7,2,5,5,2,2,1,13,3,3,3,159,15,13,10,24,16,16,1,,31,,11,4,16,2,191,25,42,7,6,30,34,3,1,15,4,1,5,3,1,6,8,133,28,22,23,16,7,5,4,7,3,1,,3,3,3,8,95,34,5,12,4,5,1,,1,3,,3,1,1,3,8,5,,,1,4,4,,265,33,23,35,36,9,49,4,15,,4,23,1,,1,3,,2,6,13,1,,7,,385,18,10,12,12,13,45,29,25,38,7,108,37,1,7,7,9,2,1,,,4,,41,33,8
202301,"3,246","1,230","2,016",361,10,7,5,3,3,1,10,11,9,13,13,24,10,17,29,58,17,21,7,18,37,10,14,4,10,600,7,14,11,3,1,,4,13,4,4,41,3,41,11,18,19,12,15,10,,3,35,9,17,2,,5,16,9,9,20,11,55,17,45,53,11,5,17,1,7,22,269,9,3,114,10,49,15,19,41,6,3,18,18,225,11,8,29,9,17,17,12,18,14,23,13,4,7,6,11,26,102,3,14,6,6,25,16,17,15,,80,7,17,15,22,19,71,11,16,20,12,12,113,17,14,31,24,27,124,18,24,11,11,17,6,1,8,1,5,3,2,2,,11,2,,2,166,16,15,12,33,10,12,2,3,36,,13,1,11,2,184,25,32,5,8,36,32,1,,14,2,1,6,4,4,9,5,145,28,31,28,17,7,4,3,6,4,1,1,2,3,1,9,89,23,6,8,8,6,2,1,,2,,4,,1,4,9,6,,2,1,4,2,,320,28,27,128,10,9,39,6,14,2,2,19,,,1,2,4,1,6,11,3,,8,,337,20,7,16,10,23,48,23,19,33,5,70,34,1,7,6,5,3,2,,5,,,42,33,9
202302,"3,218","1,239","1,979",385,7,5,5,3,5,1,9,9,12,18,16,32,14,16,28,57,21,18,8,25,28,13,20,4,11,597,12,24,7,7,2,1,6,16,5,2,37,9,,7,26,16,14,20,14,,5,29,26,14,1,1,6,19,8,14,23,11,19,16,43,46,18,40,16,1,5,11,257,6,3,115,14,39,23,17,35,4,1,17,17,238,20,8,27,10,24,19,14,24,16,20,10,5,4,14,11,12,121,4,17,9,8,30,12,20,21,,73,10,15,8,27,13,84,15,22,22,14,11,87,12,11,20,19,25,112,25,25,8,12,,4,2,8,3,3,4,3,1,,12,2,,,137,11,11,13,27,11,10,2,4,25,,6,3,11,3,157,30,26,8,6,28,14,10,1,10,4,1,3,4,4,5,3,154,27,24,33,23,7,5,6,6,2,2,1,8,1,,9,116,33,10,9,9,6,2,2,,2,,6,2,3,2,9,7,,4,3,5,2,,307,20,36,124,10,11,44,8,9,4,,13,,,1,2,3,,2,11,3,,6,,331,20,10,13,10,28,56,26,15,41,5,45,27,1,7,6,4,3,2,2,4,4,2,45,35,10
202303,"3,635","1,388","2,247",425,6,4,6,3,7,4,9,9,21,19,22,39,15,21,29,45,22,14,6,31,34,20,24,5,10,676,16,17,11,8,1,3,5,25,6,2,41,7,51,12,23,6,20,20,12,,12,29,35,18,1,1,3,21,13,14,28,11,11,19,37,50,18,9,15,,35,10,287,5,3,136,19,41,26,21,28,5,3,24,24,311,34,11,21,11,31,13,14,23,21,24,13,7,9,57,11,11,123,4,23,8,7,31,17,16,17,,96,19,23,9,25,20,101,16,33,22,20,10,96,10,13,25,19,29,90,27,21,8,5,1,3,3,5,2,1,5,2,,,4,1,2,,141,6,16,14,33,15,9,2,4,12,2,8,5,13,2,202,37,38,9,8,25,15,13,1,16,3,1,3,2,6,21,4,198,21,37,27,26,4,42,9,8,5,3,1,7,,,8,136,42,10,9,7,11,2,3,1,3,3,7,2,3,3,11,7,,5,1,3,2,1,311,25,35,120,18,13,44,7,6,5,1,15,,,,1,5,,1,9,2,1,3,,364,18,12,18,18,28,41,22,18,49,8,61,32,,6,6,5,4,2,1,5,6,4,54,37,17
202304,"3,928","1,539","2,389",380,9,5,4,1,7,6,13,8,25,18,13,29,14,15,25,40,16,13,2,30,26,19,22,8,12,826,17,29,12,11,1,3,5,29,5,1,44,10,37,9,40,9,20,22,16,,13,38,48,31,,2,5,23,24,19,39,16,48,22,42,38,10,14,23,1,37,13,333,12,3,150,19,49,35,29,31,2,3,14,14,320,33,9,3,11,31,16,13,20,19,33,22,5,12,58,12,23,148,11,27,10,9,35,25,15,16,,97,17,16,9,28,27,105,14,35,25,16,15,83,11,10,21,15,26,94,23,15,9,11,1,1,3,6,4,1,7,4,,,4,2,3,,137,6,28,15,28,23,6,1,4,5,2,6,4,8,1,353,35,192,6,6,39,12,11,1,18,4,1,,1,3,18,6,222,25,38,29,24,7,58,10,10,4,3,,6,,,8,138,40,9,10,8,10,2,2,1,2,4,6,3,2,9,10,4,2,5,2,2,4,1,240,32,30,28,20,13,55,10,7,6,4,22,,,,1,1,1,,7,1,1,1,,391,24,16,18,20,21,33,22,20,58,11,73,37,,4,8,4,5,2,2,2,5,6,47,28,19
