춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군
19 ,17 ,16 ,11 ,2 ,4 ,6 ,8 ,,3 ,2 ,5 ,1 ,1 ,1 ,3 ,5 ,3 
17 ,24 ,14 ,11 ,,3 ,3 ,7 ,1 ,4 ,3 ,2 ,1 ,1 ,1 ,3 ,4 ,2 
20 ,31 ,8 ,12 ,,3 ,3 ,5 ,2 ,4 ,6 ,3 ,1 ,2 ,3 ,1 ,4 ,1 
18 ,28 ,10 ,13 ,17 ,4 ,1 ,4 ,1 ,4 ,8 ,2 ,1 ,1 ,4 ,2 ,4 ,3 
14 ,27 ,9 ,18 ,17 ,5 ,2 ,7 ,2 ,5 ,5 ,2 ,2 ,1 ,13 ,3 ,3 ,3 
18 ,24 ,11 ,11 ,17 ,6 ,1 ,8 ,1 ,5 ,3 ,2 ,2 ,,11 ,2 ,,2 
25 ,25 ,8 ,12 ,,4 ,2 ,8 ,3 ,3 ,4 ,3 ,1 ,,12 ,2 ,,
27 ,21 ,8 ,5 ,1 ,3 ,3 ,5 ,2 ,1 ,5 ,2 ,,,4 ,1 ,2 ,
23 ,15 ,9 ,11 ,1 ,1 ,3 ,6 ,4 ,1 ,7 ,4 ,,,4 ,2 ,3 ,
17 ,9 ,18 ,9 ,30 ,4 ,6 ,7 ,3 ,1 ,6 ,2 ,,,,1 ,3 ,
