수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군
10 ,28 ,18 ,4 ,3 ,2 ,9 ,19 ,8 ,4 ,55 ,3 ,44 ,5 ,41 ,13 ,19 ,24 ,21 ,,3 ,30 ,11 ,19 ,5 ,5 ,9 ,15 ,12 ,4 ,5 ,40 ,17 ,23 ,23 ,68 ,7 ,12 ,12 ,1 ,12 ,24 
9 ,29 ,16 ,6 ,4 ,3 ,7 ,16 ,11 ,7 ,49 ,4 ,42 ,4 ,32 ,16 ,19 ,22 ,19 ,,4 ,35 ,11 ,18 ,5 ,3 ,13 ,14 ,13 ,5 ,29 ,26 ,11 ,23 ,27 ,61 ,4 ,13 ,14 ,2 ,9 ,24 
7 ,29 ,3 ,4 ,5 ,2 ,6 ,14 ,11 ,9 ,46 ,6 ,42 ,4 ,27 ,16 ,17 ,20 ,16 ,,6 ,41 ,12 ,22 ,5 ,2 ,11 ,16 ,13 ,6 ,45 ,16 ,26 ,28 ,26 ,51 ,5 ,12 ,9 ,3 ,8 ,25 
7 ,12 ,11 ,5 ,3 ,2 ,4 ,14 ,9 ,8 ,54 ,4 ,36 ,9 ,14 ,17 ,17 ,16 ,13 ,,3 ,47 ,10 ,18 ,4 ,,9 ,15 ,13 ,11 ,35 ,9 ,78 ,22 ,34 ,47 ,6 ,7 ,13 ,1 ,10 ,29 
6 ,18 ,8 ,4 ,3 ,1 ,4 ,10 ,4 ,5 ,55 ,5 ,32 ,8 ,22 ,21 ,11 ,17 ,12 ,,3 ,42 ,9 ,21 ,1 ,,6 ,18 ,13 ,8 ,30 ,14 ,69 ,24 ,39 ,43 ,6 ,4 ,16 ,1 ,9 ,31 
7 ,14 ,11 ,3 ,1 ,,4 ,13 ,4 ,4 ,41 ,3 ,41 ,11 ,18 ,19 ,12 ,15 ,10 ,,3 ,35 ,9 ,17 ,2 ,,5 ,16 ,9 ,9 ,20 ,11 ,55 ,17 ,45 ,53 ,11 ,5 ,17 ,1 ,7 ,22 
12 ,24 ,7 ,7 ,2 ,1 ,6 ,16 ,5 ,2 ,37 ,9 ,,7 ,26 ,16 ,14 ,20 ,14 ,,5 ,29 ,26 ,14 ,1 ,1 ,6 ,19 ,8 ,14 ,23 ,11 ,19 ,16 ,43 ,46 ,18 ,40 ,16 ,1 ,5 ,11 
16 ,17 ,11 ,8 ,1 ,3 ,5 ,25 ,6 ,2 ,41 ,7 ,51 ,12 ,23 ,6 ,20 ,20 ,12 ,,12 ,29 ,35 ,18 ,1 ,1 ,3 ,21 ,13 ,14 ,28 ,11 ,11 ,19 ,37 ,50 ,18 ,9 ,15 ,,35 ,10 
17 ,29 ,12 ,11 ,1 ,3 ,5 ,29 ,5 ,1 ,44 ,10 ,37 ,9 ,40 ,9 ,20 ,22 ,16 ,,13 ,38 ,48 ,31 ,,2 ,5 ,23 ,24 ,19 ,39 ,16 ,48 ,22 ,42 ,38 ,10 ,14 ,23 ,1 ,37 ,13 
14 ,44 ,16 ,12 ,,3 ,4 ,33 ,3 ,2 ,54 ,9 ,48 ,9 ,42 ,12 ,20 ,22 ,20 ,1 ,11 ,54 ,35 ,38 ,2 ,2 ,10 ,20 ,24 ,14 ,43 ,16 ,69 ,26 ,56 ,36 ,12 ,14 ,19 ,1 ,36 ,14 
