창원의창구,창원성산구,창원마산합포구,창원마산회원구,창원진해구,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군
15 ,12 ,21 ,29 ,13 ,68 ,22 ,21 ,64 ,14 ,99 ,45 ,,15 ,9 ,8 ,1 ,1 ,2 ,5 ,3 ,10 
21 ,7 ,18 ,27 ,14 ,60 ,23 ,21 ,59 ,20 ,106 ,32 ,,9 ,11 ,9 ,,1 ,2 ,5 ,2 ,5 
15 ,9 ,10 ,26 ,14 ,58 ,27 ,24 ,46 ,18 ,110 ,40 ,,8 ,12 ,8 ,,1 ,,2 ,6 ,3 
15 ,7 ,11 ,25 ,16 ,44 ,23 ,22 ,42 ,14 ,122 ,49 ,,5 ,9 ,9 ,1 ,,,,5 ,2 
18 ,10 ,12 ,12 ,13 ,45 ,29 ,25 ,38 ,7 ,108 ,37 ,1 ,7 ,7 ,9 ,2 ,1 ,,,4 ,
20 ,7 ,16 ,10 ,23 ,48 ,23 ,19 ,33 ,5 ,70 ,34 ,1 ,7 ,6 ,5 ,3 ,2 ,,5 ,,
20 ,10 ,13 ,10 ,28 ,56 ,26 ,15 ,41 ,5 ,45 ,27 ,1 ,7 ,6 ,4 ,3 ,2 ,2 ,4 ,4 ,2 
18 ,12 ,18 ,18 ,28 ,41 ,22 ,18 ,49 ,8 ,61 ,32 ,,6 ,6 ,5 ,4 ,2 ,1 ,5 ,6 ,4 
24 ,16 ,18 ,20 ,21 ,33 ,22 ,20 ,58 ,11 ,73 ,37 ,,4 ,8 ,4 ,5 ,2 ,2 ,2 ,5 ,6 
21 ,14 ,15 ,23 ,13 ,24 ,20 ,22 ,55 ,9 ,75 ,34 ,1 ,5 ,6 ,6 ,4 ,2 ,2 ,2 ,2 ,3 
