포항남구,포항북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군
43 ,51 ,36 ,21 ,14 ,41 ,12 ,6 ,6 ,2 ,22 ,1 ,4 ,,2 ,5 ,3 ,5 ,25 ,3 ,2 ,12 ,
33 ,41 ,34 ,21 ,8 ,57 ,14 ,5 ,5 ,3 ,24 ,2 ,4 ,,1 ,5 ,5 ,5 ,27 ,2 ,1 ,5 ,
29 ,36 ,27 ,42 ,10 ,63 ,9 ,8 ,3 ,5 ,22 ,2 ,3 ,,1 ,5 ,4 ,4 ,24 ,3 ,1 ,1 ,
31 ,24 ,30 ,47 ,12 ,65 ,6 ,12 ,,5 ,24 ,2 ,1 ,,2 ,,5 ,7 ,15 ,,1 ,3 ,
33 ,23 ,35 ,36 ,9 ,49 ,4 ,15 ,,4 ,23 ,1 ,,1 ,3 ,,2 ,6 ,13 ,1 ,,7 ,
28 ,27 ,128 ,10 ,9 ,39 ,6 ,14 ,2 ,2 ,19 ,,,1 ,2 ,4 ,1 ,6 ,11 ,3 ,,8 ,
20 ,36 ,124 ,10 ,11 ,44 ,8 ,9 ,4 ,,13 ,,,1 ,2 ,3 ,,2 ,11 ,3 ,,6 ,
25 ,35 ,120 ,18 ,13 ,44 ,7 ,6 ,5 ,1 ,15 ,,,,1 ,5 ,,1 ,9 ,2 ,1 ,3 ,
32 ,30 ,28 ,20 ,13 ,55 ,10 ,7 ,6 ,4 ,22 ,,,,1 ,1 ,1 ,,7 ,1 ,1 ,1 ,
37 ,23 ,43 ,13 ,18 ,56 ,10 ,12 ,6 ,6 ,28 ,1 ,,,2 ,2 ,1 ,1 ,11 ,2 ,1 ,4 ,
