중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군
15 ,6 ,7 ,6 ,29 ,16 ,18 ,18 ,31 ,31 ,13 ,3 ,11 ,19 ,19 ,18 
12 ,4 ,12 ,10 ,44 ,20 ,15 ,17 ,25 ,22 ,11 ,5 ,10 ,19 ,13 ,20 
5 ,3 ,12 ,21 ,43 ,19 ,11 ,16 ,21 ,34 ,10 ,6 ,11 ,17 ,16 ,18 
7 ,8 ,15 ,22 ,38 ,15 ,10 ,13 ,14 ,30 ,8 ,5 ,9 ,10 ,16 ,30 
10 ,9 ,11 ,20 ,16 ,16 ,10 ,15 ,12 ,36 ,11 ,3 ,8 ,6 ,11 ,23 
11 ,8 ,29 ,9 ,17 ,17 ,12 ,18 ,14 ,23 ,13 ,4 ,7 ,6 ,11 ,26 
20 ,8 ,27 ,10 ,24 ,19 ,14 ,24 ,16 ,20 ,10 ,5 ,4 ,14 ,11 ,12 
34 ,11 ,21 ,11 ,31 ,13 ,14 ,23 ,21 ,24 ,13 ,7 ,9 ,57 ,11 ,11 
33 ,9 ,3 ,11 ,31 ,16 ,13 ,20 ,19 ,33 ,22 ,5 ,12 ,58 ,12 ,23 
18 ,6 ,5 ,12 ,63 ,16 ,15 ,18 ,27 ,34 ,24 ,3 ,17 ,56 ,15 ,20 
