종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2 ,1 ,4 ,,4 ,5 ,12 ,18 ,32 ,16 ,11 ,39 ,21 ,13 ,30 ,72 ,14 ,27 ,11 ,16 ,23 ,14 ,4 ,6 ,6 
4 ,2 ,5 ,,5 ,5 ,10 ,15 ,23 ,17 ,8 ,28 ,10 ,10 ,24 ,59 ,16 ,17 ,7 ,24 ,27 ,11 ,7 ,4 ,6 
6 ,2 ,3 ,1 ,6 ,3 ,12 ,11 ,16 ,11 ,7 ,20 ,9 ,10 ,22 ,66 ,13 ,15 ,4 ,27 ,28 ,11 ,12 ,6 ,7 
14 ,6 ,4 ,3 ,5 ,2 ,15 ,12 ,8 ,11 ,6 ,9 ,7 ,10 ,16 ,47 ,12 ,14 ,1 ,29 ,38 ,12 ,14 ,8 ,7 
13 ,5 ,2 ,3 ,3 ,1 ,14 ,10 ,8 ,9 ,4 ,9 ,8 ,13 ,21 ,55 ,11 ,19 ,4 ,21 ,39 ,14 ,12 ,6 ,11 
10 ,7 ,5 ,3 ,3 ,1 ,10 ,11 ,9 ,13 ,13 ,24 ,10 ,17 ,29 ,58 ,17 ,21 ,7 ,18 ,37 ,10 ,14 ,4 ,10 
7 ,5 ,5 ,3 ,5 ,1 ,9 ,9 ,12 ,18 ,16 ,32 ,14 ,16 ,28 ,57 ,21 ,18 ,8 ,25 ,28 ,13 ,20 ,4 ,11 
6 ,4 ,6 ,3 ,7 ,4 ,9 ,9 ,21 ,19 ,22 ,39 ,15 ,21 ,29 ,45 ,22 ,14 ,6 ,31 ,34 ,20 ,24 ,5 ,10 
9 ,5 ,4 ,1 ,7 ,6 ,13 ,8 ,25 ,18 ,13 ,29 ,14 ,15 ,25 ,40 ,16 ,13 ,2 ,30 ,26 ,19 ,22 ,8 ,12 
8 ,6 ,5 ,1 ,6 ,7 ,12 ,6 ,25 ,13 ,10 ,29 ,17 ,8 ,25 ,51 ,15 ,17 ,4 ,26 ,30 ,16 ,17 ,9 ,14 
