서울특별시,경기도,인천광역시,세종특별자치시,부산광역시,대구광역시,광주광역시,대전광역시,울산광역시,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
401 ,687 ,283 ,12 ,260 ,120 ,103 ,41 ,107 ,107 ,187 ,184 ,168 ,142 ,318 ,477 ,91 
344 ,679 ,240 ,10 ,259 ,125 ,111 ,38 ,101 ,101 ,176 ,196 ,156 ,147 ,304 ,452 ,84 
328 ,672 ,206 ,7 ,263 ,118 ,79 ,66 ,116 ,109 ,166 ,189 ,149 ,131 ,303 ,437 ,69 
310 ,676 ,234 ,14 ,250 ,106 ,62 ,66 ,128 ,125 ,163 ,212 ,117 ,103 ,293 ,421 ,41 
315 ,653 ,243 ,13 ,217 ,94 ,65 ,76 ,110 ,138 ,159 ,191 ,133 ,95 ,265 ,385 ,41 
361 ,600 ,269 ,18 ,225 ,102 ,80 ,71 ,113 ,124 ,166 ,184 ,145 ,89 ,320 ,337 ,42 
385 ,597 ,257 ,17 ,238 ,121 ,73 ,84 ,87 ,112 ,137 ,157 ,154 ,116 ,307 ,331 ,45 
425 ,676 ,287 ,24 ,311 ,123 ,96 ,101 ,96 ,90 ,141 ,202 ,198 ,136 ,311 ,364 ,54 
380 ,826 ,333 ,14 ,320 ,148 ,97 ,105 ,83 ,94 ,137 ,353 ,222 ,138 ,240 ,391 ,47 
377 ,920 ,303 ,18 ,349 ,146 ,114 ,123 ,99 ,116 ,172 ,380 ,223 ,152 ,277 ,358 ,51 
