목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군
39 ,5 ,11 ,5 ,29 ,4 ,,3 ,1 ,3 ,4 ,,5 ,4 ,11 ,10 ,,,2 ,,1 ,5 
30 ,26 ,9 ,4 ,24 ,4 ,2 ,2 ,3 ,2 ,6 ,3 ,5 ,5 ,8 ,8 ,,,2 ,1 ,1 ,2 
42 ,9 ,10 ,4 ,12 ,3 ,2 ,3 ,7 ,2 ,4 ,3 ,2 ,4 ,8 ,7 ,,,1 ,2 ,5 ,1 
33 ,5 ,9 ,4 ,5 ,1 ,1 ,1 ,5 ,,3 ,3 ,3 ,4 ,11 ,6 ,,,,5 ,4 ,
34 ,5 ,12 ,4 ,5 ,1 ,,1 ,3 ,,3 ,1 ,1 ,3 ,8 ,5 ,,,1 ,4 ,4 ,
23 ,6 ,8 ,8 ,6 ,2 ,1 ,,2 ,,4 ,,1 ,4 ,9 ,6 ,,2 ,1 ,4 ,2 ,
33 ,10 ,9 ,9 ,6 ,2 ,2 ,,2 ,,6 ,2 ,3 ,2 ,9 ,7 ,,4 ,3 ,5 ,2 ,
42 ,10 ,9 ,7 ,11 ,2 ,3 ,1 ,3 ,3 ,7 ,2 ,3 ,3 ,11 ,7 ,,5 ,1 ,3 ,2 ,1 
40 ,9 ,10 ,8 ,10 ,2 ,2 ,1 ,2 ,4 ,6 ,3 ,2 ,9 ,10 ,4 ,2 ,5 ,2 ,2 ,4 ,1 
28 ,9 ,11 ,10 ,16 ,5 ,1 ,1 ,5 ,4 ,6 ,1 ,2 ,24 ,6 ,5 ,2 ,4 ,1 ,6 ,4 ,1 
