전주완산구,전주덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군
29 ,22 ,37 ,21 ,4 ,31 ,3 ,9 ,1 ,2 ,,1 ,,1 ,7 
24 ,25 ,29 ,19 ,7 ,25 ,5 ,9 ,1 ,2 ,,1 ,,1 ,8 
21 ,19 ,26 ,20 ,6 ,25 ,9 ,9 ,2 ,1 ,,1 ,,2 ,8 
16 ,22 ,19 ,21 ,6 ,3 ,7 ,8 ,2 ,,,1 ,2 ,3 ,7 
28 ,22 ,23 ,16 ,7 ,5 ,4 ,7 ,3 ,1 ,,3 ,3 ,3 ,8 
28 ,31 ,28 ,17 ,7 ,4 ,3 ,6 ,4 ,1 ,1 ,2 ,3 ,1 ,9 
27 ,24 ,33 ,23 ,7 ,5 ,6 ,6 ,2 ,2 ,1 ,8 ,1 ,,9 
21 ,37 ,27 ,26 ,4 ,42 ,9 ,8 ,5 ,3 ,1 ,7 ,,,8 
25 ,38 ,29 ,24 ,7 ,58 ,10 ,10 ,4 ,3 ,,6 ,,,8 
29 ,49 ,29 ,18 ,8 ,56 ,7 ,8 ,5 ,2 ,,1 ,1 ,2 ,8 
