천안동남구,천안서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군
26 ,59 ,7 ,2 ,26 ,14 ,11 ,,14 ,1 ,1 ,4 ,2 ,4 ,8 ,5 
24 ,65 ,6 ,2 ,21 ,17 ,13 ,,18 ,1 ,1 ,3 ,1 ,7 ,14 ,3 
29 ,53 ,6 ,2 ,17 ,22 ,12 ,,19 ,3 ,,3 ,,5 ,14 ,4 
36 ,50 ,4 ,4 ,20 ,39 ,6 ,1 ,18 ,3 ,,6 ,,4 ,15 ,6 
25 ,42 ,7 ,6 ,30 ,34 ,3 ,1 ,15 ,4 ,1 ,5 ,3 ,1 ,6 ,8 
25 ,32 ,5 ,8 ,36 ,32 ,1 ,,14 ,2 ,1 ,6 ,4 ,4 ,9 ,5 
30 ,26 ,8 ,6 ,28 ,14 ,10 ,1 ,10 ,4 ,1 ,3 ,4 ,4 ,5 ,3 
37 ,38 ,9 ,8 ,25 ,15 ,13 ,1 ,16 ,3 ,1 ,3 ,2 ,6 ,21 ,4 
35 ,192 ,6 ,6 ,39 ,12 ,11 ,1 ,18 ,4 ,1 ,,1 ,3 ,18 ,6 
27 ,187 ,8 ,8 ,51 ,18 ,18 ,,20 ,4 ,2 ,1 ,3 ,5 ,21 ,7 
