청주상당구,청주서원구,청주흥덕구,청주청원구,충주시,제천시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군
9 ,20 ,18 ,41 ,15 ,22 ,3 ,6 ,22 ,6 ,3 ,3 ,16 ,3 
12 ,25 ,18 ,31 ,13 ,14 ,3 ,5 ,34 ,1 ,3 ,3 ,14 ,
11 ,23 ,13 ,29 ,18 ,17 ,4 ,3 ,15 ,1 ,4 ,4 ,23 ,1 
16 ,21 ,9 ,22 ,16 ,11 ,3 ,1 ,27 ,1 ,12 ,4 ,19 ,1 
15 ,13 ,10 ,24 ,16 ,16 ,1 ,,31 ,,11 ,4 ,16 ,2 
16 ,15 ,12 ,33 ,10 ,12 ,2 ,3 ,36 ,,13 ,1 ,11 ,2 
11 ,11 ,13 ,27 ,11 ,10 ,2 ,4 ,25 ,,6 ,3 ,11 ,3 
6 ,16 ,14 ,33 ,15 ,9 ,2 ,4 ,12 ,2 ,8 ,5 ,13 ,2 
6 ,28 ,15 ,28 ,23 ,6 ,1 ,4 ,5 ,2 ,6 ,4 ,8 ,1 
13 ,33 ,13 ,49 ,26 ,7 ,1 ,4 ,3 ,2 ,6 ,5 ,10 ,
