경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도
수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군
45.5,37.8,42.9,25,50,66.7,56.3,44.2,26.7,25,23.8,25,43.6,55.6,39.4,30.2,35.8,33.3,45.7,-,33.3,30.6,68.8,46.3,33.3,50,34.6,41.7,40,25,29.4,62.5,24.6,34.8,35.4,37,58.3,46.2,50,20,36.4,40
42.9,45.3,61.5,31.6,50,50,46.7,35.6,32.4,29.2,19.4,25,46.7,50,33,28.1,31.7,34.4,46.3,-,28.6,29.7,52.4,35.3,27.8,75,41.9,35,38.2,26.3,28.2,53.1,25.6,35.9,32.9,34.3,40,50,56,33.3,28.1,33.3
31.8,55.8,20,21.1,50,25,42.9,26.9,32.4,32.1,15,31.6,42.9,33.3,31,23.2,29.8,35.1,42.1,-,33.3,29.9,46.2,37.9,27.8,66.7,39.3,30.2,35.1,14,36,51.6,38.8,39.4,30.2,28.3,33.3,44.4,31,50,13.1,33.8
25.9,22.2,47.8,27.8,37.5,22.2,33.3,28,30,33.3,15.3,17.4,41.4,45,17.5,24.6,29.8,26.7,37.1,-,16.7,35.1,16.1,32.1,22.2,-,37.5,24.6,28.9,14.5,30.4,32.1,75.7,33.8,29.8,27.5,28.6,38.9,30.2,33.3,17.2,40.8
20.7,30,33.3,23.5,42.9,11.1,36.4,20.8,19,35.7,15.9,15.2,36.8,30.8,22.7,28,23.9,26.6,33.3,-,15,28.6,10.3,34.4,8.3,-,40,27.7,34.2,10.5,25.9,32.6,43.4,40,30.5,26.4,18.2,28.6,28.1,25,10.1,44.3
25,25,42.3,15,25,-,28.6,21,16.7,33.3,11,10.7,48.2,35.5,17.5,32.2,22.2,20.5,26.3,-,17.6,29.9,10.3,30.4,16.7,-,38.5,28.6,31,16.4,18.5,28.2,39.6,34,35.2,30.3,24.4,31.3,31.5,11.1,8.2,50
41.4,45.3,29.2,28,33.3,10,42.9,22.9,20.8,20,9.2,32.1,-,21.2,23.6,33.3,26.4,26.7,31.8,-,23.8,27.1,32.9,24.6,10,14.3,25,38,26.7,40,20,27.5,24.7,28.1,36.8,27.9,36,48.2,33.3,10,5.9,36.7
40,20.2,39.3,25,16.7,30,38.5,27.5,21.4,15.4,7.2,30.4,43.6,31.6,20.7,15.4,33.3,21.7,21.8,-,42.9,30.5,43.2,26.5,7.1,9.1,20,41.2,27.1,33.3,19,30.6,50,25,28,28.4,39.1,25.7,35.7,-,40.2,30.3
34.7,24.8,31.6,29.7,12.5,33.3,41.7,31.9,22.7,9.1,6.6,31.3,27,31,27,16.4,33.9,20.2,23.5,-,44.8,32.5,46.2,30.7,-,22.2,27.8,39.7,34.8,39.6,22.3,32,77.4,25,26.9,26.4,25.6,35.9,44.2,11.1,58.7,28.9
26.4,32.1,38.1,28.6,-,37.5,26.7,37.5,11.1,14.3,6.8,28.1,25.4,33.3,27.1,17.9,32.3,17.1,22.2,25,45.8,38.8,39.8,28.6,9.1,20,37,30.3,28.9,29.8,23.4,35.6,61.6,25.5,33.3,23.8,33.3,37.8,41.3,9.1,56.3,27.5
