경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,,,,,,,,,,,,,,,,,,,
포항남구,포항북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군,,,,,,,,,,,,,,,,,,,
46.2,50.5,42.4,44.7,48.3,36.3,35.3,28.6,75,33.3,40.7,20,44.4,-,33.3,41.7,33.3,62.5,38.5,60,50,48,-,,,,,,,,,,,,,,,,,,,
42.9,47.1,33.3,32.8,30.8,40.4,45.2,20,45.5,33.3,40.7,28.6,57.1,-,25,50,55.6,45.5,43.5,40,33.3,45.5,-,,,,,,,,,,,,,,,,,,,
37.7,46.8,21.3,53.8,33.3,40.9,42.9,23.5,30,45.5,36.1,28.6,100,-,16.7,71.4,40,25,41.4,50,50,20,-,,,,,,,,,,,,,,,,,,,
38.3,36.4,12.4,58.8,40,43.3,37.5,31.6,-,50,38.7,33.3,100,-,28.6,-,62.5,33.3,30.6,-,100,37.5,-,,,,,,,,,,,,,,,,,,,
42.3,32.4,11.2,66.7,30,36.6,30.8,40.5,-,66.7,41.8,33.3,-,33.3,37.5,-,50,28.6,34.2,5.9,-,63.6,-,,,,,,,,,,,,,,,,,,,
36.8,31.4,33.8,29.4,34.6,28.1,42.9,51.9,22.2,66.7,42.2,-,-,33.3,40,36.4,100,37.5,32.4,17.6,-,72.7,-,,,,,,,,,,,,,,,,,,,
28.6,36.4,46.4,25.6,44,29.3,47.1,45,33.3,-,28.9,-,-,50,40,30,-,28.6,35.5,50,-,85.7,-,,,,,,,,,,,,,,,,,,,
28.7,36.8,64.2,42.9,48.1,28.4,36.8,30,33.3,33.3,24.6,-,-,-,33.3,62.5,-,50,27.3,66.7,100,33.3,-,,,,,,,,,,,,,,,,,,,
33.3,34.1,26.4,48.8,34.2,35.3,34.5,30.4,33.3,50,27.2,-,-,-,50,25,50,-,20.6,33.3,50,9.1,-,,,,,,,,,,,,,,,,,,,
37,30.3,33.6,33.3,36,38.4,28.6,42.9,33.3,50,31.5,14.3,-,-,100,25,50,25,25,50,25,11.4,-,,,,,,,,,,,,,,,,,,,
