대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,44.2,36.8,38.5,35.1,34.3,34,31.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.9,43.1,41.2,46.4,39.5,35.5,28.1,44.4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5,49.1,29.4,38.5,36.6,29,27.8,48.1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.3,41.9,21.7,36.4,35.8,34.2,32.4,32,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.7,32.5,25,23.8,30.8,36.6,23.7,27,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.3,31.1,19.4,33.3,30.5,34.8,23.6,31.9,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.5,26.6,29,42.1,35.3,23.1,32.3,41.2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.8,28.4,28.6,36.8,34.1,26.2,35.6,39.5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.7,29,37,34.6,36.5,35.7,35.7,38.1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.8,30.8,29.6,20.7,35.4,30.9,24.6,31.9,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
