부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,,,,,,,,,,,,,,,,,,,,,,,,,,
중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군,,,,,,,,,,,,,,,,,,,,,,,,,,
41.7,21.4,15.2,18.2,27.1,22.2,36.7,36.7,41.3,38.8,37.1,23.1,32.4,32.2,46.3,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,
35.3,18.2,15,24.4,32.8,29,31.3,40.5,34.7,30.6,26.2,35.7,27,36.5,39.4,19,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,12,14.5,36.2,37.7,31.7,28.2,33.3,33.3,34,25.6,40,28.2,19.5,32.7,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,
12.3,26.7,26.8,38.6,36.9,31.3,22.2,20.3,23.7,27.8,20.5,45.5,28.1,13.3,27.6,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,
12.2,30,44,32.8,16.3,27.6,23.3,20,20.3,30.8,24.4,21.4,33.3,4.8,17.7,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,
9.7,25,61.7,16.1,10.4,26.2,26.1,22,19.4,22.8,18.6,26.7,25.9,4.5,19.6,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,
18.3,25,58.7,16.4,11.4,24.1,35,34.8,21.1,20.4,10.5,29.4,11.1,7.5,23.9,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,
35.4,30.6,44.7,20.4,14.2,16.9,35,36.5,24.4,24.2,10.5,50,18.4,31,27.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,
52.4,29,11.5,24.4,14.4,20.8,33.3,36.4,25.3,31.7,16.5,35.7,24.5,41.4,26.7,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,
54.5,19.4,17.2,35.3,33,22.9,34.1,30.5,36.5,29.8,22,25,37,57.1,27.8,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,
