인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중구,동구,미추홀구,연수구,남동구,부평구,계양구,서구,강화군,옹진군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3,50,33.5,47.1,33.9,34.7,44.6,31.4,29.4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.1,46.2,22.9,33.3,30.2,29.7,34.4,29.4,40,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.1,44.4,15.8,29.2,23.2,30.3,35.2,28,38.9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,37.5,19.8,17.1,29,22.1,26.9,27.2,38.9,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,36.4,20.1,19.5,28.1,13.9,29.1,27.2,21.4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.6,30,25.2,23.8,26.3,11.8,23.8,27.2,40,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.2,37.5,26.2,34.1,23.4,17.2,21.3,25.9,30.8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.9,33.3,26.4,42.2,25,17.8,23.1,21.5,35.7,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.7,20,23.9,31.7,25.7,19.9,26.1,19.5,15.4,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.5,22.2,21,27.5,20.8,14.9,27,20,18.2,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
