전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,,,,,,,,,,,,,,,,,,,,,,,,,,,
전주완산구,전주덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.3,47.8,60.7,35,57.1,51.7,21.4,47.4,33.3,66.7,-,12.5,-,100,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.7,43.1,56.9,26.4,53.8,83.3,35.7,39.1,25,100,-,7.7,-,33.3,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.4,32.8,42.6,21.7,42.9,80.6,50,40.9,33.3,100,-,7.1,-,40,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.1,32.8,34.5,24.4,37.5,42.9,46.7,44.4,20,-,-,12.5,28.6,50,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.3,26.2,33.8,22.5,50,71.4,25,36.8,27.3,33.3,-,60,42.9,75,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.4,36.9,35.9,27.9,53.8,6.6,16.7,33.3,33.3,20,50,66.7,60,33.3,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.2,25.3,38.4,38.3,63.6,4.3,24,27.3,18.2,33.3,50,72.7,50,-,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.3,36.6,32.5,40.6,26.7,24.9,31,34.8,31.3,50,100,77.8,-,-,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.5,35.8,41.4,41.4,36.8,45.3,30.3,41.7,23.5,75,-,54.5,-,-,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.8,49.5,20.9,22,42.1,73.7,23.3,30.8,29.4,66.7,-,16.7,50,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
