서울특별시,경기도,인천광역시,세종특별자치시,부산광역시,대구광역시,광주광역시,대전광역시,울산광역시,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
25.5,36.9,34.8,29.3,30.3,36.4,44.4,36.3,35,42.8,31.2,30.9,46.8,42.1,42.9,36,47.2
20.9,34.1,28.5,27,28.9,39.1,43.7,31.1,34.1,40.9,28.6,33.4,42.5,44,39.8,34.9,48.3
17.5,30.7,23.9,15.6,28.5,36.9,40.5,38.6,33.8,38.4,28.1,31.6,35.8,38.6,37.8,34.3,56.6
14.2,28.8,24.2,29.8,27.5,33.9,28.7,34.2,36.9,40.8,28.2,31.6,30.8,31,32.3,32.9,39.4
13.1,26,23.1,24.1,22.3,28.2,28.8,34.5,34.2,40.6,27.9,28.2,32.6,28,29.2,30.9,34.7
14.9,24.6,24.5,37.5,19.7,28.2,30.8,33.2,34.7,38.6,28.1,27.9,31.5,26.1,34.1,28.2,35.9
16.3,25.3,24.5,30.4,18.9,30.6,33.5,36.2,32.3,39.4,27.7,27.7,28.3,31.5,37.6,28,35.2
16.3,24.6,25,40.7,24.1,30.3,39,40.6,34.9,35.3,26.6,30,31.7,34.7,40.1,27.4,38.3
13.4,25.9,23.7,26.9,27.2,34.2,35,39.2,33.5,32.8,25.3,39.4,37.9,35.1,32.1,26.6,35.6
12.2,25.3,21.4,39.1,33.2,31.3,37.9,38.3,34.9,32.8,28.4,32.6,35.8,31.7,33.3,22.8,33.3
