시도,전국,수도권,지방,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,세종특별자치시,세종특별자치시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,광주광역시,광주광역시,광주광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,울산광역시,울산광역시,울산광역시,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,제주특별자치도
시군구,소계,소계,소계,소계,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,소계,수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군,소계,중구,동구,미추홀구,연수구,남동구,부평구,계양구,서구,강화군,옹진군,소계,세종특별자치시,소계,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군,소계,중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군,소계,동구,서구,남구,북구,광산구,소계,동구,중구,서구,유성구,대덕구,소계,중구,남구,동구,북구,울주군,소계,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군,소계,청주상당구,청주서원구,청주흥덕구,청주청원구,충주시,제천시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군,소계,천안동남구,천안서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군,소계,전주완산구,전주덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군,소계,목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군,소계,포항남구,포항북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군,소계,창원의창구,창원성산구,창원마산합포구,창원마산회원구,창원진해구,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군,소계,제주시,서귀포시
202208,35,32.3,36.9,25.5,25,11.1,50,,17.4,45.5,30,41.9,45.1,23.5,33.3,27.7,33.3,27.7,21.4,17.2,20,20,57.9,27.1,27.1,58.3,28.6,28.6,30,36.9,45.5,37.8,42.9,25,50,66.7,56.3,44.2,26.7,25,23.8,25,43.6,55.6,39.4,30.2,35.8,33.3,45.7,,33.3,30.6,68.8,46.3,33.3,50,34.6,41.7,40,25,29.4,62.5,24.6,34.8,35.4,37,58.3,46.2,50,20,36.4,40,34.8,42.3,50,33.5,47.1,33.9,34.7,44.6,31.4,29.4,30,29.3,29.3,30.3,41.7,21.4,15.2,18.2,27.1,22.2,36.7,36.7,41.3,38.8,37.1,23.1,32.4,32.2,46.3,17.8,36.4,60,44.2,36.8,38.5,35.1,34.3,34,31.9,100,44.4,32.1,35.7,45.6,44.1,58.7,36.3,45.8,29,36.4,25,41.7,35,25.5,39.5,31.6,38.2,39.7,42.8,44.2,34.7,64,47.8,22.2,57.1,60,34.8,,25,16.7,55.6,100,50,16.7,42.9,83.3,75,31.2,25,25.3,46.2,39.4,38.5,47.8,30,46.2,13.9,75,37.5,25,37.2,75,30.9,33.8,41.5,36.8,20,35.6,31.1,16.9,,31.1,7.7,20,10.5,33.3,28.6,23.5,55.6,46.8,48.3,47.8,60.7,35,57.1,51.7,21.4,47.4,33.3,66.7,,12.5,,100,50,42.1,39,55.6,35.5,33.3,58,66.7,,75,11.1,60,66.7,,55.6,50,47.8,38.5,,,50,,20,55.6,42.9,46.2,50.5,42.4,44.7,48.3,36.3,35.3,28.6,75,33.3,40.7,20,44.4,,33.3,41.7,33.3,62.5,38.5,60,50,48,,36,27.8,66.7,32.8,34.1,29.5,36.8,36.1,28.4,38.8,35,33.9,46.4,,53.6,23.7,27.6,20,33.3,50,55.6,37.5,47.6,47.2,53.6,38.6
202209,32.7,28.2,35.8,20.9,21.1,13.3,50,,21.7,55.6,23.8,30,36.5,23.3,28.6,23.3,18.5,24.4,15.6,14.3,20.8,14.2,58.3,26.7,20.8,39.3,26.9,21.1,24,34.1,42.9,45.3,61.5,31.6,50,50,46.7,35.6,32.4,29.2,19.4,25,46.7,50,33,28.1,31.7,34.4,46.3,,28.6,29.7,52.4,35.3,27.8,75,41.9,35,38.2,26.3,28.2,53.1,25.6,35.9,32.9,34.3,40,50,56,33.3,28.1,33.3,28.5,26.1,46.2,22.9,33.3,30.2,29.7,34.4,29.4,40,31.3,27,27,28.9,35.3,18.2,15,24.4,32.8,29,31.3,40.5,34.7,30.6,26.2,35.7,27,36.5,39.4,19,39.1,42.9,43.1,41.2,46.4,39.5,35.5,28.1,44.4,100,43.7,32.4,36.4,40.6,49.1,55.8,31.1,40.9,35.5,30.4,9.1,37.5,34.1,34.4,39.1,31.1,37.8,31.4,40.9,38.6,42.1,60.9,37.9,,50,42.9,30.4,50,40,27.3,33.3,100,33.3,16.7,60,66.7,66.7,28.6,27.3,31.3,43.9,30.7,31,35.9,33.3,38.5,21.5,33.3,13,25,29.8,,33.4,36.4,54.2,28.6,20,43.8,29.3,20.6,,35.3,7.7,25,4.3,20,41.2,43.8,37.5,42.5,40.7,43.1,56.9,26.4,53.8,83.3,35.7,39.1,25,100,,7.7,,33.3,36.4,44,34.5,66.7,37.5,28.6,60,57.1,20,50,33.3,66.7,60,50,71.4,41.7,33.3,42.1,,,50,25,20,40,39.8,42.9,47.1,33.3,32.8,30.8,40.4,45.2,20,45.5,33.3,40.7,28.6,57.1,,25,50,55.6,45.5,43.5,40,33.3,45.5,,34.9,36.8,46.7,35.3,36.5,31.8,39,37.1,32.3,38.1,33.9,32.5,33.7,,40.9,24.4,36,,25,100,45.5,20,33.3,48.3,55.4,38.4
202210,30,24.5,34.3,17.5,19.4,7.4,27.3,20,19.4,50,25,20.8,29.6,19,21.9,18.7,17.6,26.3,13,14.2,12.9,11.9,30.8,21.1,14.7,28.2,27.9,27.3,25.9,30.7,31.8,55.8,20,21.1,50,25,42.9,26.9,32.4,32.1,15,31.6,42.9,33.3,31,23.2,29.8,35.1,42.1,,33.3,29.9,46.2,37.9,27.8,66.7,39.3,30.2,35.1,14,36,51.6,38.8,39.4,30.2,28.3,33.3,44.4,31,50,13.1,33.8,23.9,11.1,44.4,15.8,29.2,23.2,30.3,35.2,28,38.9,30,15.6,15.6,28.5,17.2,12,14.5,36.2,37.7,31.7,28.2,33.3,33.3,34,25.6,40,28.2,19.5,32.7,23.7,36.9,37.5,49.1,29.4,38.5,36.6,29,27.8,48.1,100,40.5,31.4,40,58.1,34.7,36.4,38.6,45.8,52.2,25.7,19.4,45.7,33.8,32.9,33.3,33.3,40.8,31.3,38.4,40,44.3,42.1,38.7,,60,60,25,50,36.4,42.9,33.3,50,66.7,42.9,33.3,50,25,28.1,24.4,29.9,39.4,29.3,31,32.1,50,27.3,16,33.3,16,36.4,33.3,20,31.6,40.8,47.7,31.6,16.7,34,31,17.1,,35.8,23.1,,4.5,,38.5,51.9,30.8,35.8,34.4,32.8,42.6,21.7,42.9,80.6,50,40.9,33.3,100,,7.1,,40,29.6,38.6,37.8,37.5,38.5,30.8,42.9,33.3,22.2,75,53.8,100,44.4,60,66.7,40,25.8,38.9,,,33.3,22.2,71.4,33.3,37.8,37.7,46.8,21.3,53.8,33.3,40.9,42.9,23.5,30,45.5,36.1,28.6,100,,16.7,71.4,40,25,41.4,50,50,20,,34.3,28.8,42.9,23.8,37.7,25,31.5,36.5,35.8,36.2,32.1,38.2,37.4,,38.1,30,36.4,,20,,22.2,46.2,27.3,56.6,62.9,48.1
202211,27.5,22.2,31.9,14.2,28.6,15.8,22.2,50,14.3,28.6,27.8,21.4,12.3,16.4,12.5,8,16.3,23.3,8.9,9.8,9.9,11,5.9,16.8,14.5,22.6,23,27.6,19.4,28.8,25.9,22.2,47.8,27.8,37.5,22.2,33.3,28,30,33.3,15.3,17.4,41.4,45,17.5,24.6,29.8,26.7,37.1,,16.7,35.1,16.1,32.1,22.2,,37.5,24.6,28.9,14.5,30.4,32.1,75.7,33.8,29.8,27.5,28.6,38.9,30.2,33.3,17.2,40.8,24.2,30,37.5,19.8,17.1,29,22.1,26.9,27.2,38.9,28.6,29.8,29.8,27.5,12.3,26.7,26.8,38.6,36.9,31.3,22.2,20.3,23.7,27.8,20.5,45.5,28.1,13.3,27.6,44.8,33.9,14.3,41.9,21.7,36.4,35.8,34.2,32.4,32,100,28.7,12.5,38.9,40,26.4,36.6,34.2,36,40,24,21.2,51.4,36.9,38.1,44.9,35.8,33.9,34.5,40.8,42.9,42.4,37,33.3,50,44.4,25,23.5,33.3,40,72.7,28.6,50,50,21.1,66.7,66.7,60,28.2,37.2,24.7,28.1,19.1,29.6,28.2,75,14.3,32.9,50,35.3,33.3,29.2,25,31.6,45.6,29.1,25,25,29.4,45.3,11.5,25,39.1,30,,13.6,,33.3,35.7,37.5,30.8,28.1,32.8,34.5,24.4,37.5,42.9,46.7,44.4,20,,,12.5,28.6,50,26.9,31,30.8,19.2,34.6,26.7,19.2,25,11.1,100,50,,27.3,60,50,40,33.3,33.3,,,,38.5,100,,32.3,38.3,36.4,12.4,58.8,40,43.3,37.5,31.6,,50,38.7,33.3,100,,28.6,,62.5,33.3,30.6,,100,37.5,,32.9,25.9,22.6,25.6,41,22.5,24,29.9,29.3,31.6,31.8,42.5,48,,25,30,50,9.1,,,,41.7,28.6,39.4,44.3,29.4
202212,25.1,20.3,29.4,13.1,27.7,15.2,12.5,33.3,8.6,11.1,26.9,21.3,11.1,11.5,8,8.6,18.6,27.1,9.8,9.3,7.5,11.7,14.3,12.4,15.1,25,18.8,20,25,26,20.7,30,33.3,23.5,42.9,11.1,36.4,20.8,19,35.7,15.9,15.2,36.8,30.8,22.7,28,23.9,26.6,33.3,,15,28.6,10.3,34.4,8.3,,40,27.7,34.2,10.5,25.9,32.6,43.4,40,30.5,26.4,18.2,28.6,28.1,25,10.1,44.3,23.1,32,36.4,20.1,19.5,28.1,13.9,29.1,27.2,21.4,25,24.1,24.1,22.3,12.2,30,44,32.8,16.3,27.6,23.3,20,20.3,30.8,24.4,21.4,33.3,4.8,17.7,42.6,28.2,16.7,32.5,25,23.8,30.8,36.6,23.7,27,,28.8,18.8,28.2,40,28.3,32.7,34.5,35.7,36.8,26.5,27.3,52.9,34.2,39.6,36.8,36.1,33.3,27.8,40.6,28.6,40.3,29,52.9,47.2,50,50,36.8,28.6,45.5,50,16.7,66.7,100,40.6,75,60,60,27.9,39.5,13.3,27.8,15.7,35.6,39,100,,52.5,,44,36.4,30.8,50,28.2,31.3,18.3,41.2,31.6,37,45.9,8.3,33.3,45.5,36.4,50,45.5,33.3,14.3,13.6,38.1,32.6,37.3,26.2,33.8,22.5,50,71.4,25,36.8,27.3,33.3,,60,42.9,75,34.8,28,29.3,17.2,38.7,23.5,18.5,20,,100,33.3,,27.3,100,25,33.3,27.6,33.3,,,33.3,33.3,66.7,,29.2,42.3,32.4,11.2,66.7,30,36.6,30.8,40.5,,66.7,41.8,33.3,,33.3,37.5,,50,28.6,34.2,5.9,,63.6,,30.9,30.5,21.7,26.7,26.1,16,23.8,33,36.2,27.9,25.9,40.8,42.5,50,30.4,35,52.9,13.3,20,,,57.1,,34.7,43.4,19
202301,25.1,20.6,28.9,14.9,27.8,29.2,31.3,42.9,11.5,7.7,22.7,27.5,10.6,13.1,24.1,17.8,18.5,26.2,12,9.7,11.5,14.5,23.3,12.1,16.3,20,21.2,14.8,21.3,24.6,25,25,42.3,15,25,,28.6,21,16.7,33.3,11,10.7,48.2,35.5,17.5,32.2,22.2,20.5,26.3,,17.6,29.9,10.3,30.4,16.7,,38.5,28.6,31,16.4,18.5,28.2,39.6,34,35.2,30.3,24.4,31.3,31.5,11.1,8.2,50,24.5,34.6,30,25.2,23.8,26.3,11.8,23.8,27.2,40,50,37.5,37.5,19.7,9.7,25,61.7,16.1,10.4,26.2,26.1,22,19.4,22.8,18.6,26.7,25.9,4.5,19.6,40.6,28.2,14.3,31.1,19.4,33.3,30.5,34.8,23.6,31.9,,30.8,15.6,34.7,44.1,31.9,30.2,33.2,37.9,32,28.2,33.3,42.9,34.7,34,40,32.6,40.7,31,38.6,28.6,39.3,37.9,40.7,77.3,54.5,25,34.8,11.1,71.4,21.4,18.2,100,,36.7,40,,100,28.1,48.5,14.7,26.7,19.5,25.6,36.4,66.7,30,50.7,,50,8.3,25.6,66.7,27.9,27.5,15.2,22.7,36.4,42.4,56.1,9.1,,42.4,18.2,100,54.5,57.1,33.3,14.3,26.3,31.5,36.4,36.9,35.9,27.9,53.8,6.6,16.7,33.3,33.3,20,50,66.7,60,33.3,45,26.1,26.1,16.7,27.6,33.3,22.2,50,25,,33.3,,30.8,,25,16.7,31,35.3,,16.7,50,40,33.3,,34.1,36.8,31.4,33.8,29.4,34.6,28.1,42.9,51.9,22.2,66.7,42.2,,,33.3,40,36.4,100,37.5,32.4,17.6,,72.7,,28.2,29.4,17.1,25.4,23.3,26.7,26.2,34.8,27.1,21.4,20.8,33,42,100,31.8,35.3,31.3,25,40,,35.7,,,35.9,39.3,27.3
202302,25.6,21.5,29,16.3,28,27.8,62.5,37.5,20,4.8,22,26.5,13.3,19.6,30.8,22.7,21.9,25,11.1,9.3,13.5,12.9,28.6,18.5,15.8,28.9,32.3,19,19.6,25.3,41.4,45.3,29.2,28,33.3,10,42.9,22.9,20.8,20,9.2,32.1,,21.2,23.6,33.3,26.4,26.7,31.8,,23.8,27.1,32.9,24.6,10,14.3,25,38,26.7,40,20,27.5,24.7,28.1,36.8,27.9,36,48.2,33.3,10,5.9,36.7,24.5,22.2,37.5,26.2,34.1,23.4,17.2,21.3,25.9,30.8,20,30.4,30.4,18.9,18.3,25,58.7,16.4,11.4,24.1,35,34.8,21.1,20.4,10.5,29.4,11.1,7.5,23.9,19.7,30.6,12.5,26.6,29,42.1,35.3,23.1,32.3,41.2,,33.5,47.6,34.9,25.8,40.9,22.8,36.2,41.7,36.7,32.4,33.3,42.3,32.3,27.3,36.7,26,46.3,32.5,39.4,35.7,42.4,38.1,60,,66.7,33.3,28.6,21.4,100,22.2,33.3,100,,63.2,40,,,27.7,50,14.1,28.9,18.4,24.4,31.3,66.7,36.4,59.5,,40,21.4,32.4,75,27.7,31.9,19.5,26.7,27.3,32.6,42.4,55.6,50,22.7,30.8,100,50,57.1,33.3,10.6,16.7,28.3,34.2,25.3,38.4,38.3,63.6,4.3,24,27.3,18.2,33.3,50,72.7,50,,50,31.5,34.7,28.6,25.7,47.4,26.1,40,33.3,,33.3,,40,100,60,5,33.3,43.8,,28.6,75,71.4,33.3,,37.6,28.6,36.4,46.4,25.6,44,29.3,47.1,45,33.3,,28.9,,,50,40,30,,28.6,35.5,50,,85.7,,28,27.4,24.4,23.2,20.8,38.4,29.3,49.1,21.4,24,17.2,23.6,37.5,100,38.9,30,19,33.3,40,40,36.4,28.6,22.2,35.2,39.3,25.6
202303,26.4,21.3,31,16.3,21.4,19,54.5,33.3,22.6,14.8,19.1,22.5,20,21.1,37.9,23.8,19,29.6,11.1,6.5,14.2,10.2,30,20.7,16.2,38.5,37.5,17.2,17.5,24.6,40,20.2,39.3,25,16.7,30,38.5,27.5,21.4,15.4,7.2,30.4,43.6,31.6,20.7,15.4,33.3,21.7,21.8,,42.9,30.5,43.2,26.5,7.1,9.1,20,41.2,27.1,33.3,19,30.6,50,25,28,28.4,39.1,25.7,35.7,,40.2,30.3,25,17.9,33.3,26.4,42.2,25,17.8,23.1,21.5,35.7,37.5,40.7,40.7,24.1,35.4,30.6,44.7,20.4,14.2,16.9,35,36.5,24.4,24.2,10.5,50,18.4,31,27.5,17.5,30.3,11.8,28.4,28.6,36.8,34.1,26.2,35.6,39.5,,39,48.7,50,25.7,39.7,31.7,40.6,40,46.5,34.4,42.6,37,34.9,24.4,40.6,31.6,44.2,36.3,35.3,42.2,44.7,42.1,27.8,20,50,33.3,17.2,20,33.3,23.8,40,,,66.7,25,50,,26.6,28.6,18.2,28.6,24.1,22.7,28.1,40,33.3,26.7,40,53.3,27.8,36.1,100,30,38.1,22,45,32,25.3,42.9,50,33.3,20.3,25,33.3,21.4,50,40,41.2,23.5,31.7,27.3,36.6,32.5,40.6,26.7,24.9,31,34.8,31.3,50,100,77.8,,,32,34.7,45.7,28.6,23.7,33.3,31.4,66.7,50,50,30,37.5,50,100,60,7.3,40.7,38.9,,41.7,33.3,37.5,28.6,50,40.1,28.7,36.8,64.2,42.9,48.1,28.4,36.8,30,33.3,33.3,24.6,,,,33.3,62.5,,50,27.3,66.7,100,33.3,,27.4,22.8,37.5,27.3,31,43.8,25.6,47.8,22.5,18.1,22.9,26.3,36,,54.5,24,19.2,44.4,50,25,55.6,35.3,33.3,38.3,41.1,33.3
202304,26.3,20.7,31.8,13.4,24.3,22.7,36.4,6.7,18.9,21.4,25,18.6,21.4,22,29.5,21.8,19.4,31.3,8.9,4.8,10,8,11.1,19.6,10.2,31.1,35.5,21.6,17.9,25.9,34.7,24.8,31.6,29.7,12.5,33.3,41.7,31.9,22.7,9.1,6.6,31.3,27,31,27,16.4,33.9,20.2,23.5,,44.8,32.5,46.2,30.7,,22.2,27.8,39.7,34.8,39.6,22.3,32,77.4,25,26.9,26.4,25.6,35.9,44.2,11.1,58.7,28.9,23.7,26.7,20,23.9,31.7,25.7,19.9,26.1,19.5,15.4,37.5,26.9,26.9,27.2,52.4,29,11.5,24.4,14.4,20.8,33.3,36.4,25.3,31.7,16.5,35.7,24.5,41.4,26.7,35.4,34.2,29.7,29,37,34.6,36.5,35.7,35.7,38.1,,35,39.5,28.6,21.4,38.9,42.2,39.2,40,43.2,36.8,30.8,46.9,33.5,31.4,27,31.8,39.5,36.1,32.8,43.4,37.5,31,47.8,3.2,16.7,25,22.2,44.4,25,36.8,57.1,,,66.7,50,50,,25.3,24,27.5,34.9,18.9,31.9,18.8,16.7,36.4,14.3,40,42.9,19,32,50,39.4,39.8,49.7,31.6,28.6,36.1,31.6,34.4,50,21.2,44.4,33.3,,25,30,51.4,33.3,37.9,32.5,35.8,41.4,41.4,36.8,45.3,30.3,41.7,23.5,75,,54.5,,,26.7,35.1,47.1,27.3,27,25.8,25,40,40,50,18.2,50,60,75,28.6,20.9,55.6,23.5,50,45.5,40,25,57.1,50,32.1,33.3,34.1,26.4,48.8,34.2,35.3,34.5,30.4,33.3,50,27.2,,,,50,25,50,,20.6,33.3,50,9.1,,26.6,30.4,38.1,30.5,32.8,34.4,22.3,44,24.7,15.9,28.9,26.2,39.8,,36.4,32,15.4,38.5,33.3,33.3,66.7,41.7,54.5,35.6,35.4,35.8
