춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군
44.2,34.7,64,47.8,22.2,57.1,60,34.8,,25,16.7,55.6,100,50,16.7,42.9,83.3,75
38.6,42.1,60.9,37.9,,50,42.9,30.4,50,40,27.3,33.3,100,33.3,16.7,60,66.7,66.7
40,44.3,42.1,38.7,,60,60,25,50,36.4,42.9,33.3,50,66.7,42.9,33.3,50,25
42.9,42.4,37,33.3,50,44.4,25,23.5,33.3,40,72.7,28.6,50,50,21.1,66.7,66.7,60
28.6,40.3,29,52.9,47.2,50,50,36.8,28.6,45.5,50,16.7,66.7,100,40.6,75,60,60
28.6,39.3,37.9,40.7,77.3,54.5,25,34.8,11.1,71.4,21.4,18.2,100,,36.7,40,,100
35.7,42.4,38.1,60,,66.7,33.3,28.6,21.4,100,22.2,33.3,100,,63.2,40,,
42.2,44.7,42.1,27.8,20,50,33.3,17.2,20,33.3,23.8,40,,,66.7,25,50,
43.4,37.5,31,47.8,3.2,16.7,25,22.2,44.4,25,36.8,57.1,,,66.7,50,50,
34,22.5,40.9,32.1,46.9,40,31.6,20.6,50,20,26.1,22.2,,,,33.3,50,
