창원의창구,창원성산구,창원마산합포구,창원마산회원구,창원진해구,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군
27.8,66.7,32.8,34.1,29.5,36.8,36.1,28.4,38.8,35,33.9,46.4,,53.6,23.7,27.6,20,33.3,50,55.6,37.5,47.6
36.8,46.7,35.3,36.5,31.8,39,37.1,32.3,38.1,33.9,32.5,33.7,,40.9,24.4,36,,25,100,45.5,20,33.3
28.8,42.9,23.8,37.7,25,31.5,36.5,35.8,36.2,32.1,38.2,37.4,,38.1,30,36.4,,20,,22.2,46.2,27.3
25.9,22.6,25.6,41,22.5,24,29.9,29.3,31.6,31.8,42.5,48,,25,30,50,9.1,,,,41.7,28.6
30.5,21.7,26.7,26.1,16,23.8,33,36.2,27.9,25.9,40.8,42.5,50,30.4,35,52.9,13.3,20,,,57.1,
29.4,17.1,25.4,23.3,26.7,26.2,34.8,27.1,21.4,20.8,33,42,100,31.8,35.3,31.3,25,40,,35.7,,
27.4,24.4,23.2,20.8,38.4,29.3,49.1,21.4,24,17.2,23.6,37.5,100,38.9,30,19,33.3,40,40,36.4,28.6,22.2
22.8,37.5,27.3,31,43.8,25.6,47.8,22.5,18.1,22.9,26.3,36,,54.5,24,19.2,44.4,50,25,55.6,35.3,33.3
30.4,38.1,30.5,32.8,34.4,22.3,44,24.7,15.9,28.9,26.2,39.8,,36.4,32,15.4,38.5,33.3,33.3,66.7,41.7,54.5
29.6,33.3,23.1,34.3,21.3,19.5,31.3,25.3,12.5,31,23.3,37.8,33.3,45.5,33.3,20.7,28.6,33.3,33.3,40,25,33.3
