종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
25,11.1,50,,17.4,45.5,30,41.9,45.1,23.5,33.3,27.7,33.3,27.7,21.4,17.2,20,20,57.9,27.1,27.1,58.3,28.6,28.6,30
21.1,13.3,50,,21.7,55.6,23.8,30,36.5,23.3,28.6,23.3,18.5,24.4,15.6,14.3,20.8,14.2,58.3,26.7,20.8,39.3,26.9,21.1,24
19.4,7.4,27.3,20,19.4,50,25,20.8,29.6,19,21.9,18.7,17.6,26.3,13,14.2,12.9,11.9,30.8,21.1,14.7,28.2,27.9,27.3,25.9
28.6,15.8,22.2,50,14.3,28.6,27.8,21.4,12.3,16.4,12.5,8,16.3,23.3,8.9,9.8,9.9,11,5.9,16.8,14.5,22.6,23,27.6,19.4
27.7,15.2,12.5,33.3,8.6,11.1,26.9,21.3,11.1,11.5,8,8.6,18.6,27.1,9.8,9.3,7.5,11.7,14.3,12.4,15.1,25,18.8,20,25
27.8,29.2,31.3,42.9,11.5,7.7,22.7,27.5,10.6,13.1,24.1,17.8,18.5,26.2,12,9.7,11.5,14.5,23.3,12.1,16.3,20,21.2,14.8,21.3
28,27.8,62.5,37.5,20,4.8,22,26.5,13.3,19.6,30.8,22.7,21.9,25,11.1,9.3,13.5,12.9,28.6,18.5,15.8,28.9,32.3,19,19.6
21.4,19,54.5,33.3,22.6,14.8,19.1,22.5,20,21.1,37.9,23.8,19,29.6,11.1,6.5,14.2,10.2,30,20.7,16.2,38.5,37.5,17.2,17.5
24.3,22.7,36.4,6.7,18.9,21.4,25,18.6,21.4,22,29.5,21.8,19.4,31.3,8.9,4.8,10,8,11.1,19.6,10.2,31.1,35.5,21.6,17.9
22.9,31.6,35.7,5.9,17.1,23.3,24,12.2,18.4,14.6,25.6,23.4,22.4,17.4,7.7,5.3,8,9.4,17.4,19,10.4,27.6,30.9,20,21.5
