목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군
39,55.6,35.5,33.3,58,66.7,,75,11.1,60,66.7,,55.6,50,47.8,38.5,,,50,,20,55.6
34.5,66.7,37.5,28.6,60,57.1,20,50,33.3,66.7,60,50,71.4,41.7,33.3,42.1,,,50,25,20,40
37.8,37.5,38.5,30.8,42.9,33.3,22.2,75,53.8,100,44.4,60,66.7,40,25.8,38.9,,,33.3,22.2,71.4,33.3
30.8,19.2,34.6,26.7,19.2,25,11.1,100,50,,27.3,60,50,40,33.3,33.3,,,,38.5,100,
29.3,17.2,38.7,23.5,18.5,20,,100,33.3,,27.3,100,25,33.3,27.6,33.3,,,33.3,33.3,66.7,
26.1,16.7,27.6,33.3,22.2,50,25,,33.3,,30.8,,25,16.7,31,35.3,,16.7,50,40,33.3,
34.7,28.6,25.7,47.4,26.1,40,33.3,,33.3,,40,100,60,5,33.3,43.8,,28.6,75,71.4,33.3,
45.7,28.6,23.7,33.3,31.4,66.7,50,50,30,37.5,50,100,60,7.3,40.7,38.9,,41.7,33.3,37.5,28.6,50
47.1,27.3,27,25.8,25,40,40,50,18.2,50,60,75,28.6,20.9,55.6,23.5,50,45.5,40,25,57.1,50
36.8,22.5,26.2,24.4,28.1,71.4,33.3,50,35.7,44.4,75,33.3,28.6,54.5,50,6.1,66.7,66.7,33.3,50,57.1,100
