천안동남구,천안서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군
33.8,41.5,36.8,20,35.6,31.1,16.9,,31.1,7.7,20,10.5,33.3,28.6,23.5,55.6
36.4,54.2,28.6,20,43.8,29.3,20.6,,35.3,7.7,25,4.3,20,41.2,43.8,37.5
40.8,47.7,31.6,16.7,34,31,17.1,,35.8,23.1,,4.5,,38.5,51.9,30.8
45.6,29.1,25,25,29.4,45.3,11.5,25,39.1,30,,13.6,,33.3,35.7,37.5
31.3,18.3,41.2,31.6,37,45.9,8.3,33.3,45.5,36.4,50,45.5,33.3,14.3,13.6,38.1
27.5,15.2,22.7,36.4,42.4,56.1,9.1,,42.4,18.2,100,54.5,57.1,33.3,14.3,26.3
31.9,19.5,26.7,27.3,32.6,42.4,55.6,50,22.7,30.8,100,50,57.1,33.3,10.6,16.7
38.1,22,45,32,25.3,42.9,50,33.3,20.3,25,33.3,21.4,50,40,41.2,23.5
39.8,49.7,31.6,28.6,36.1,31.6,34.4,50,21.2,44.4,33.3,,25,30,51.4,33.3
30,41.6,33.3,40,48.6,32.1,37.5,,10.7,44.4,33.3,1.5,37.5,33.3,37.5,30.4
