청주상당구,청주서원구,청주흥덕구,청주청원구,충주시,제천시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군
25,25.3,46.2,39.4,38.5,47.8,30,46.2,13.9,75,37.5,25,37.2,75
27.3,31.3,43.9,30.7,31,35.9,33.3,38.5,21.5,33.3,13,25,29.8,
24.4,29.9,39.4,29.3,31,32.1,50,27.3,16,33.3,16,36.4,33.3,20
37.2,24.7,28.1,19.1,29.6,28.2,75,14.3,32.9,50,35.3,33.3,29.2,25
39.5,13.3,27.8,15.7,35.6,39,100,,52.5,,44,36.4,30.8,50
48.5,14.7,26.7,19.5,25.6,36.4,66.7,30,50.7,,50,8.3,25.6,66.7
50,14.1,28.9,18.4,24.4,31.3,66.7,36.4,59.5,,40,21.4,32.4,75
28.6,18.2,28.6,24.1,22.7,28.1,40,33.3,26.7,40,53.3,27.8,36.1,100
24,27.5,34.9,18.9,31.9,18.8,16.7,36.4,14.3,40,42.9,19,32,50
38.2,26.6,27.7,30.2,34.2,18.4,10,36.4,9.1,50,46.2,20.8,35.7,
