수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군
,1 ,,,,,,3 ,9 ,,51 ,1 ,2 ,,,1 ,7 ,10 ,5 ,,,5 ,1 ,2 ,5 ,,1 ,2 ,1 ,1 ,15 ,2 ,,3 ,1 ,1 ,,,,,,
3 ,2 ,1 ,,,,1 ,1 ,1 ,2 ,41 ,2 ,,,,,8 ,8 ,10 ,,,2 ,,3 ,4 ,,,2 ,2 ,,19 ,1 ,,11 ,,8 ,,1 ,,,,
4 ,6 ,2 ,2 ,,,,4 ,7 ,1 ,68 ,1 ,6 ,1 ,4 ,1 ,7 ,6 ,19 ,1 ,,1 ,,1 ,6 ,1 ,3 ,2 ,4 ,1 ,14 ,,,7 ,1 ,10 ,,,,,,
7 ,6 ,4 ,5 ,1 ,,1 ,5 ,11 ,1 ,79 ,,3 ,,6 ,1 ,17 ,12 ,11 ,,,5 ,,3 ,2 ,2 ,1 ,4 ,6 ,,20 ,5 ,,13 ,8 ,9 ,1 ,,1 ,,1 ,
3 ,7 ,1 ,4 ,1 ,1 ,3 ,10 ,14 ,2 ,99 ,1 ,7 ,,5 ,5 ,5 ,17 ,16 ,1 ,,3 ,1 ,3 ,4 ,2 ,5 ,2 ,1 ,4 ,18 ,2 ,,17 ,7 ,17 ,1 ,1 ,,,1 ,
5 ,9 ,4 ,1 ,3 ,1 ,1 ,11 ,14 ,3 ,89 ,2 ,3 ,,4 ,7 ,12 ,12 ,19 ,,,11 ,2 ,6 ,7 ,,5 ,5 ,5 ,3 ,13 ,3 ,,18 ,7 ,30 ,1 ,1 ,1 ,,,
3 ,9 ,5 ,2 ,,1 ,1 ,7 ,11 ,9 ,104 ,2 ,,,10 ,6 ,10 ,7 ,30 ,,2 ,8 ,5 ,7 ,6 ,4 ,1 ,7 ,7 ,4 ,29 ,1 ,,24 ,6 ,15 ,1 ,,,,,
2 ,11 ,8 ,3 ,,2 ,1 ,11 ,10 ,3 ,103 ,3 ,5 ,,12 ,10 ,13 ,40 ,34 ,,2 ,10 ,8 ,6 ,4 ,1 ,2 ,8 ,15 ,8 ,48 ,3 ,1 ,24 ,11 ,45 ,1 ,,,,,1 
7 ,4 ,7 ,3 ,,2 ,2 ,12 ,12 ,2 ,116 ,1 ,6 ,,12 ,5 ,11 ,21 ,19 ,,2 ,7 ,5 ,4 ,4 ,2 ,5 ,6 ,8 ,3 ,28 ,1 ,,17 ,7 ,32 ,,,,,,1 
4 ,10 ,6 ,7 ,,,5 ,15 ,17 ,5 ,147 ,,13 ,,12 ,11 ,12 ,30 ,30 ,,1 ,8 ,2 ,10 ,4 ,4 ,8 ,4 ,6 ,2 ,43 ,4 ,3 ,19 ,11 ,30 ,2 ,3 ,,,,3 
