종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
1 ,1 ,,,2 ,,5 ,2 ,7 ,3 ,,11 ,6 ,1 ,21 ,60 ,26 ,17 ,,8 ,4 ,,,1 ,2 
,,,1 ,3 ,,8 ,2 ,4 ,6 ,2 ,10 ,6 ,1 ,15 ,57 ,18 ,11 ,2 ,4 ,8 ,1 ,,,1 
,,,1 ,1 ,,7 ,5 ,9 ,6 ,1 ,11 ,5 ,3 ,19 ,93 ,27 ,16 ,2 ,21 ,8 ,,2 ,1 ,1 
,1 ,1 ,,1 ,,2 ,8 ,10 ,9 ,3 ,17 ,5 ,4 ,27 ,91 ,28 ,25 ,6 ,20 ,13 ,1 ,1 ,1 ,4 
1 ,,1 ,2 ,2 ,2 ,3 ,6 ,8 ,7 ,1 ,14 ,4 ,3 ,25 ,75 ,17 ,15 ,6 ,4 ,16 ,2 ,5 ,1 ,8 
,1 ,2 ,1 ,4 ,1 ,12 ,7 ,16 ,17 ,,19 ,5 ,6 ,30 ,68 ,28 ,29 ,6 ,12 ,17 ,1 ,1 ,4 ,7 
1 ,2 ,1 ,2 ,3 ,1 ,7 ,10 ,18 ,3 ,3 ,11 ,4 ,2 ,23 ,102 ,28 ,32 ,8 ,12 ,13 ,1 ,3 ,5 ,4 
2 ,3 ,,1 ,6 ,4 ,19 ,10 ,21 ,13 ,5 ,27 ,5 ,5 ,17 ,99 ,21 ,32 ,9 ,15 ,27 ,1 ,3 ,10 ,8 
,5 ,,1 ,5 ,4 ,9 ,10 ,6 ,8 ,7 ,14 ,5 ,4 ,25 ,70 ,20 ,22 ,14 ,15 ,18 ,2 ,5 ,6 ,12 
1 ,,,3 ,3 ,3 ,10 ,10 ,18 ,11 ,4 ,20 ,11 ,6 ,33 ,104 ,31 ,36 ,14 ,13 ,28 ,2 ,5 ,4 ,13 
