서울특별시,경기도,인천광역시,세종특별자치시,부산광역시,대구광역시,광주광역시,대전광역시,울산광역시,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
178,130,170,,6,1,3,3,2,1,3,2,2,2,2,3,3
160,133,195,,11,3,,,1,,,5,,5,7,1,2
239,191,222,,20,2,3,,3,2,1,4,1,2,7,3,4
278,251,274,,18,9,5,2,2,,3,6,3,2,5,7,4
228,291,224,1,27,10,3,,2,,5,3,2,4,7,6,7
294,318,252,1,32,12,3,6,7,2,4,7,3,3,9,6,9
299,344,356,,27,15,5,2,5,5,5,12,7,11,10,14,4
363,469,458,3,19,7,6,6,5,4,3,16,4,12,4,3,3
287,374,459,5,33,19,6,9,1,6,8,20,8,12,12,8,6
383,491,429,3,25,17,14,7,4,2,2,20,6,7,7,10,17
