수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군
,189000000 ,,,,,,490000000 ,2182000000 ,,11132000000 ,341000000 ,384000000 ,,,120000000 ,1547500000 ,2462000000 ,2017500000 ,,,935000000 ,190000000 ,390000000 ,1187000000 ,,109000000 ,341000000 ,320000000 ,370000000 ,2786000000 ,230000000 ,,537000000 ,420000000 ,25000000 ,,,,,,
702000000 ,383000000 ,245000000 ,,,,380000000 ,60000000 ,180000000 ,467500000 ,8488500000 ,660000000 ,,,,,1871000000 ,1748000000 ,3511000000 ,,,635000000 ,,399000000 ,1096000000 ,,,351000000 ,484000000 ,,4011500000 ,160000000 ,,2106000000 ,,1616000000 ,,150000000 ,,,,
1031500000 ,1924000000 ,515000000 ,850000000 ,,,,504500000 ,2010000000 ,350000000 ,14207000000 ,416000000 ,644000000 ,35000000 ,841500000 ,230000000 ,2107000000 ,1381000000 ,4640000000 ,301000000 ,,110000000 ,,120000000 ,1411000000 ,465000000 ,858000000 ,330000000 ,850500000 ,188000000 ,2833000000 ,,,1751000000 ,240000000 ,2441000000 ,,,,,,
1805000000 ,1396000000 ,1070000000 ,1765000000 ,500000000 ,,300000000 ,822000000 ,2849000000 ,365000000 ,18087000000 ,,680000000 ,,1064000000 ,390000000 ,4069000000 ,2557000000 ,3183000000 ,,,1200000000 ,,720000000 ,508000000 ,709000000 ,680000000 ,720500000 ,1278000000 ,,4275500000 ,938000000 ,,2969000000 ,1945000000 ,2418000000 ,171000000 ,,250000000 ,,220000000 ,
803500000 ,1593000000 ,265000000 ,1071000000 ,280000000 ,340000000 ,990000000 ,1735000000 ,3821000000 ,689000000 ,21790500000 ,270000000 ,1135000000 ,,850500000 ,742000000 ,1249000000 ,4440000000 ,5232500000 ,500000000 ,,990000000 ,186000000 ,924000000 ,1118000000 ,748000000 ,2236500000 ,380000000 ,200000000 ,1560000000 ,4073000000 ,397000000 ,,4344000000 ,1262500000 ,4139000000 ,260000000 ,140000000 ,,,65000000 ,
1196000000 ,2194000000 ,990000000 ,450000000 ,1190000000 ,290000000 ,480000000 ,2376000000 ,3787000000 ,880000000 ,18489500000 ,760000000 ,413000000 ,,689000000 ,1437000000 ,3601000000 ,3262500000 ,5908500000 ,,,2582000000 ,449000000 ,892000000 ,1461000000 ,,826000000 ,1200000000 ,1781000000 ,1469500000 ,2955000000 ,564000000 ,,4574800000 ,1663000000 ,7771500000 ,246000000 ,161000000 ,280000000 ,,,
597000000 ,1899000000 ,1158000000 ,659000000 ,,350000000 ,280000000 ,1762000000 ,3101000000 ,2745000000 ,22583750000 ,780000000 ,,,2141000000 ,1069000000 ,2649000000 ,2480500000 ,9230000000 ,,506500000 ,2256000000 ,1245000000 ,1349000000 ,1644000000 ,1443000000 ,225000000 ,1575000000 ,2845000000 ,1526500000 ,6201000000 ,300000000 ,,5845500000 ,2100000000 ,3614000000 ,240000000 ,,,,,
362000000 ,2577000000 ,1900000000 ,1267000000 ,,647000000 ,670000000 ,2153000000 ,2760000000 ,919000000 ,19702000000 ,960000000 ,988000000 ,,2048000000 ,1753000000 ,2942000000 ,11576500000 ,12365500000 ,,590000000 ,3430000000 ,1570370650 ,1202000000 ,1301000000 ,419000000 ,695000000 ,1939000000 ,5024000000 ,3416000000 ,10842250000 ,624000000 ,180000000 ,5567500000 ,3297000000 ,11984500000 ,300000000 ,,,,,296000000 
1574500000 ,1069000000 ,1704000000 ,1120000000 ,,570000000 ,967000000 ,2122000000 ,3436000000 ,618000000 ,24563500000 ,230000000 ,854000000 ,,2107000000 ,1020500000 ,2604500000 ,6020000000 ,6313500000 ,,507480000 ,1813000000 ,991000000 ,724000000 ,902000000 ,679000000 ,1870000000 ,1350000000 ,2724000000 ,1248000000 ,6474000000 ,150000000 ,,4068000000 ,1937100000 ,8017000000 ,,,,,,180000000 
733000000 ,1885950000 ,1161000000 ,2313150000 ,,,2232750000 ,3465000000 ,4462000000 ,1597000000 ,30978500000 ,,2324000000 ,,2281000000 ,1744000000 ,3360000000 ,7448000000 ,10278850000 ,,400000000 ,1774000000 ,472000000 ,1837000000 ,1234500000 ,1240000000 ,2526000000 ,1094000000 ,1905500000 ,730000000 ,9568500000 ,660000000 ,322000000 ,5187500000 ,2346050000 ,6701000000 ,450000000 ,422000000 ,,,,653000000 
