창원의창구,창원성산구,창원마산합포구,창원마산회원구,창원진해구,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군
,,,,,165000000 ,,,110000000 ,,367000000 ,,,,,,,,,,,
,,,,,,,,60000000 ,,,,,,,,,,,,,
,,270000000 ,,,250000000 ,,,,,300000000 ,,,,,,,,,,,
,330000000 ,,,,,,,490000000 ,,595000000 ,,,,,,,,,,,
,,,,100000000 ,,,,,,720000000 ,,,,,,,,,,,
110000000 ,435000000 ,,,,65000000 ,,,350000000 ,,455000000 ,,,,,,,,,,,
160000000 ,695000000 ,,,,,,,1320000000 ,230000000 ,472000000 ,720000000 ,,,,,,,,,,
,,,,,,,,,,555000000 ,,,,,,,,,,,
,440000000 ,,140000000 ,,,,145000000 ,190000000 ,,465000000 ,290000000 ,,,,,,,,,,
,,,,,52000000 ,,795000000 ,590000000 ,,84000000 ,250000000 ,,,,,,,,,,
