포항남구,포항북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군
,,,100000000 ,,60000000 ,,,,,,,,,,,,,,,,,
224500000 ,510000000 ,,200000000 ,,,,,,,,,,,,,,,,,,,
145000000 ,,,100000000 ,,145000000 ,,,,,,,,,,,,,145000000 ,,,,
460000000 ,,,,,120000000 ,,,,,,,,,,,,,,80000000 ,,,
320000000 ,,130000000 ,100000000 ,60000000 ,60000000 ,,,,,,,,,,,,,,,,160000000 ,
,243000000 ,,,,755000000 ,,,,,,,,,,,,,75000000 ,,,160000000 ,
1100000000 ,170000000 ,320000000 ,,,586000000 ,,,,,,,,,,,,,70000000 ,,,,
35000000 ,325000000 ,,,,300000000 ,,,,,,,,,,,,,,,,,
,500000000 ,,38000000 ,,1085000000 ,,200000000 ,,,60000000 ,,,,,,,,130000000 ,,,,
150000000 ,570000000 ,,,,535000000 ,,,,,,,,,,,,,,,,,
