중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군
,,,,,,360000000 ,,
,,,,523000000 ,,110000000 ,,
,,,,440000000 ,,,,
,,,,325000000 ,550000000 ,1755000000 ,,
,310000000 ,,60000000 ,440000000 ,,905000000 ,600000000 ,
,752000000 ,,,380000000 ,1280000000 ,585000000 ,250000000 ,
,1080000000 ,,,580000000 ,1025000000 ,1530000000 ,250000000 ,
,750000000 ,50000000 ,220000000 ,,240000000 ,240000000 ,270000000 ,
,782000000 ,110000000 ,,350000000 ,820000000 ,880000000 ,1420000000 ,
360000000 ,1090000000 ,,,1165000000 ,1810000000 ,1290000000 ,,
