중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군
190000000 ,,,150000000 ,145000000 ,,,,110000000 ,85000000 ,,,,,,
,150000000 ,,,300000000 ,410000000 ,300000000 ,,180000000 ,,590000000 ,,150000000 ,430000000 ,,
,,180000000 ,575000000 ,605000000 ,,430000000 ,790000000 ,160000000 ,510000000 ,518000000 ,,,415000000 ,,
,,330000000 ,75000000 ,1425000000 ,,,340000000 ,405000000 ,286000000 ,170000000 ,,370000000 ,,,460000000 
,,340000000 ,580000000 ,660000000 ,380000000 ,680000000 ,1100000000 ,150000000 ,145000000 ,610000000 ,,140000000 ,,,
200000000 ,364000000 ,,420000000 ,875000000 ,830000000 ,1000000000 ,1705000000 ,350000000 ,80000000 ,200000000 ,,330000000 ,,183500000 ,280000000 
200000000 ,,,,520000000 ,,560000000 ,410000000 ,410000000 ,665000000 ,1590000000 ,100000000 ,410000000 ,179000000 ,177000000 ,160000000 
,,,165000000 ,773000000 ,360000000 ,150000000 ,184000000 ,330000000 ,310000000 ,860000000 ,260000000 ,567000000 ,150000000 ,420000000 ,
585000000 ,,,,1127500000 ,870000000 ,270000000 ,190000000 ,610000000 ,1015000000 ,1020000000 ,390000000 ,255000000 ,140000000 ,545000000 ,
,400000000 ,190000000 ,250000000 ,768000000 ,190000000 ,447000000 ,390000000 ,300000000 ,530000000 ,350000000 ,380000000 ,162000000 ,,585000000 ,330000000 
