종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
500000000 ,225000000 ,,,758000000 ,,1359000000 ,496000000 ,1687000000 ,640000000 ,,2553000000 ,1195000000 ,425000000 ,5016000000 ,13580500000 ,7243000000 ,4136000000 ,,2398000000 ,1280000000 ,,,230000000 ,480000000 
,,,450000000 ,855000000 ,,1894000000 ,548000000 ,1070000000 ,1304500000 ,450000000 ,2349000000 ,1315000000 ,245000000 ,3843000000 ,13634500000 ,4786500000 ,2506000000 ,259000000 ,1210000000 ,1765000000 ,370000000 ,,,320000000 
,,,310000000 ,385000000 ,,1907000000 ,1174000000 ,2276000000 ,1199000000 ,330000000 ,2772000000 ,1390000000 ,908000000 ,4392000000 ,21953750000 ,7294500000 ,3858500000 ,382500000 ,6197660000 ,2110000000 ,,410000000 ,460000000 ,222000000 
,185000000 ,700000000 ,,150000000 ,,658000000 ,2099000000 ,2354000000 ,2060000000 ,639500000 ,4032000000 ,1215000000 ,1000000000 ,6403500000 ,20689000000 ,6743700000 ,5515000000 ,1605000000 ,5873000000 ,3386000000 ,410000000 ,240000000 ,360000000 ,1357000000 
300000000 ,,250000000 ,462000000 ,515000000 ,609000000 ,805000000 ,1641000000 ,1687000000 ,1577500000 ,310000000 ,3832000000 ,829000000 ,1180000000 ,5801000000 ,17976500000 ,4473000000 ,3589500000 ,809100000 ,1208000000 ,4799000000 ,790000000 ,1400000000 ,460000000 ,2533900000 
,700000000 ,849000000 ,240000000 ,1208000000 ,260000000 ,2929000000 ,1948000000 ,4219500000 ,4028000000 ,,4918000000 ,1239000000 ,1890000000 ,7571350000 ,16485000000 ,6833000000 ,7219750000 ,1157300000 ,3313000000 ,5010000000 ,315000000 ,260000000 ,1290000000 ,1575000000 
220000000 ,400000000 ,441000000 ,473000000 ,865000000 ,139000000 ,1757000000 ,2664500000 ,4441500000 ,575000000 ,834000000 ,3089500000 ,923000000 ,295000000 ,5553400000 ,25647500000 ,7253550000 ,7877000000 ,2192000000 ,3408000000 ,3708500000 ,420000000 ,1030000000 ,1715000000 ,685000000 
527000000 ,780000000 ,,210000000 ,1956000000 ,825000000 ,5018500000 ,3730600000 ,4860000000 ,3206000000 ,2165000000 ,6739750000 ,1503000000 ,1318000000 ,4106000000 ,24074600000 ,5438000000 ,8449000000 ,2347000000 ,4949000000 ,8038500000 ,428000000 ,972500000 ,3356500000 ,1921000000 
,1440000000 ,,235000000 ,1350000000 ,1040000000 ,2635000000 ,3453000000 ,1405000000 ,2175000000 ,2060000000 ,3796000000 ,1140000000 ,1112000000 ,6461000000 ,16037400000 ,4757500000 ,5653650000 ,3831000000 ,4656000000 ,5763950000 ,803000000 ,1466000000 ,2604500000 ,2676000000 
500000000 ,,,1035000000 ,1335000000 ,635000000 ,2846000000 ,2725000000 ,3937000000 ,2455000000 ,1540000000 ,4789750000 ,2613000000 ,1755000000 ,8570400000 ,24966400000 ,7895500000 ,9173000000 ,3929890000 ,4206000000 ,7216500000 ,939000000 ,1478500000 ,1024000000 ,3580000000 
