서울특별시,경기도,인천광역시,세종특별자치시,부산광역시,대구광역시,광주광역시,대전광역시,울산광역시,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
44201500000 ,28705000000 ,30484400000 ,,680000000 ,360000000 ,625478691 ,710000000 ,520000000 ,220000000 ,455000000 ,325000000 ,230000000 ,175000000 ,160000000 ,642000000 ,430000000 
39174500000 ,29704500000 ,35266500000 ,,2510000000 ,633000000 ,,,105000000 ,,,715279119 ,,404000000 ,934500000 ,60000000 ,300000000 
59931910000 ,43585000000 ,40003550000 ,,4183000000 ,440000000 ,322095000 ,,595000000 ,285000000 ,260000000 ,650000000 ,90000000 ,134000000 ,535000000 ,820000000 ,790000000 
67674700000 ,59904000000 ,49414000000 ,,3861000000 ,2630000000 ,1265000000 ,295000000 ,314500000 ,,590000000 ,859000000 ,531000000 ,370000000 ,660000000 ,1415000000 ,525000000 
57837500000 ,70820000000 ,40379200000 ,230000000 ,4785000000 ,2315000000 ,965000000 ,,640000000 ,,986000000 ,660000000 ,415000000 ,353000000 ,830000000 ,820000000 ,1040000000 
75457900000 ,77269300000 ,47858700000 ,390000000 ,6817500000 ,3247000000 ,615000000 ,1330000000 ,1920000000 ,460000000 ,857000000 ,1630000000 ,915000000 ,367000000 ,1233000000 ,1415000000 ,1440000000 
76607450000 ,86399750000 ,65252350000 ,,5381000000 ,4465000000 ,1600000000 ,543000000 ,1040000000 ,1045000000 ,925000000 ,2295000000 ,1097000000 ,934000000 ,2246000000 ,3597000000 ,795000000 
96918950000 ,118267620650 ,85977950000 ,930000000 ,4529000000 ,1770000000 ,1219000000 ,1085000000 ,705000000 ,915000000 ,789000000 ,2999000000 ,767000000 ,1079500000 ,660000000 ,555000000 ,770000000 
76551000000 ,90528080000 ,86817450000 ,1180000000 ,7017500000 ,4362000000 ,1605000000 ,2155050000 ,220000000 ,1420000000 ,1466000000 ,3983500000 ,1640000000 ,1916500000 ,2013000000 ,1670000000 ,1130000000 
99144940000 ,115787250000 ,79716350000 ,322000000 ,5272000000 ,5715000000 ,3351000000 ,1743700000 ,850000000 ,330000000 ,495000000 ,4422700000 ,1261000000 ,773750000 ,1255000000 ,1771000000 ,2960000000 
