중구,동구,미추홀구,연수구,남동구,부평구,계양구,서구,강화군,옹진군
445000000 ,,8828000000 ,,4759000000 ,8162400000 ,1171000000 ,7119000000 ,,
105000000 ,180000000 ,8413000000 ,277500000 ,5964000000 ,10409000000 ,1078000000 ,8840000000 ,,
632000000 ,60000000 ,8068000000 ,999000000 ,6581000000 ,12607900000 ,1951000000 ,9104650000 ,,
447000000 ,384000000 ,13003500000 ,1683000000 ,6011000000 ,14760000000 ,2061000000 ,11064500000 ,,
888000000 ,,6762200000 ,500000000 ,7269000000 ,10995000000 ,4357000000 ,9608000000 ,,
1084000000 ,,10157700000 ,3145000000 ,7894500000 ,11169000000 ,3184000000 ,11224500000 ,,
2122900000 ,421000000 ,13871800000 ,1593000000 ,10574000000 ,19575000000 ,4535000000 ,12559650000 ,,
1458000000 ,165000000 ,19375000000 ,5211500000 ,12412900000 ,24138000000 ,4469250000 ,18748300000 ,,
1513500000 ,69000000 ,15147300000 ,2609000000 ,16327700000 ,26221500000 ,5692000000 ,19237450000 ,,
2819000000 ,351000000 ,19767500000 ,814000000 ,14940850000 ,22670750000 ,4840000000 ,13513250000 ,,
