목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군
90000000 ,,,,85000000 ,,,,,,,,,,,,,,,,,
,,,,304000000 ,,,,,,,,,,,100000000 ,,,,,,
,,,,134000000 ,,,,,,,,,,,,,,,,,
,,,,90000000 ,,,,,,,,,,,280000000 ,,,,,,
,,100000000 ,,253000000 ,,,,,,,,,,,,,,,,,
,,,,247000000 ,,,,,,,,,,,120000000 ,,,,,,
,125000000 ,,,639000000 ,,,,,,,,,,,170000000 ,,,,,,
,,,40000000 ,799500000 ,,,,,,,,,,,240000000 ,,,,,,
,400000000 ,550000000 ,157000000 ,674500000 ,,,,,,,,,,,135000000 ,,,,,,
,,250000000 ,80000000 ,443750000 ,,,,,,,,,,,,,,,,,
