천안동남구,천안서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군
,,,,,200000000 ,,,,,,,,,125000000 ,
,285000000 ,,,,120000000 ,,,310279119 ,,,,,,,
295000000 ,,,,,,,,355000000 ,,,,,,,
,220000000 ,,,,239000000 ,,,400000000 ,,,,,,,
,,,,,,,,180000000 ,170000000 ,,,,310000000 ,,
320000000 ,400000000 ,,,,180000000 ,,,730000000 ,,,,,,,
,605000000 ,,,145000000 ,500000000 ,,,1045000000 ,,,,,,,
280000000 ,932000000 ,,,344000000 ,978000000 ,,,345000000 ,,,,,,120000000 ,
660000000 ,791500000 ,,,230000000 ,893000000 ,,,1334000000 ,,,,,75000000 ,,
230000000 ,705000000 ,,,1727700000 ,787000000 ,,,973000000 ,,,,,,,
