수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군
,1 ,,,,,,2 ,12 ,,11 ,2 ,2 ,,,1 ,3 ,8 ,3 ,,,1 ,3 ,1 ,6 ,,0 ,3 ,1 ,1 ,6 ,14 ,,1 ,1 ,0 ,,,,,,
4 ,2 ,3 ,,,,1 ,0 ,1 ,1 ,8 ,2 ,,,,,3 ,4 ,4 ,,,1 ,,1 ,6 ,,,2 ,1 ,,5 ,4 ,,2 ,,5 ,,18 ,,,,
10 ,8 ,6 ,2 ,,,,2 ,14 ,1 ,16 ,2 ,5 ,4 ,5 ,2 ,4 ,4 ,7 ,5 ,,0 ,,0 ,8 ,4 ,2 ,3 ,2 ,1 ,5 ,,,2 ,0 ,9 ,,,,,,
15 ,6 ,12 ,4 ,5 ,,1 ,3 ,14 ,1 ,15 ,,3 ,,5 ,2 ,6 ,7 ,4 ,,,2 ,,2 ,3 ,5 ,1 ,6 ,3 ,,6 ,28 ,,4 ,3 ,10 ,2 ,,27 ,,76 ,
7 ,6 ,2 ,3 ,2 ,2 ,2 ,5 ,16 ,2 ,22 ,1 ,7 ,,3 ,2 ,2 ,15 ,6 ,4 ,,2 ,3 ,2 ,5 ,6 ,5 ,3 ,0 ,3 ,6 ,10 ,,6 ,2 ,13 ,3 ,10 ,,,8 ,
10 ,9 ,9 ,1 ,8 ,2 ,1 ,6 ,19 ,2 ,18 ,2 ,2 ,,3 ,4 ,5 ,6 ,7 ,,,4 ,3 ,2 ,6 ,,2 ,7 ,3 ,3 ,5 ,9 ,,5 ,2 ,24 ,3 ,26 ,9 ,,,
5 ,8 ,8 ,1 ,,4 ,1 ,5 ,22 ,9 ,22 ,2 ,,,8 ,3 ,4 ,4 ,11 ,,3 ,3 ,14 ,3 ,6 ,12 ,1 ,10 ,6 ,4 ,9 ,6 ,,7 ,2 ,13 ,2 ,,,,,
2 ,10 ,12 ,2 ,,4 ,1 ,4 ,8 ,1 ,14 ,3 ,3 ,,6 ,6 ,5 ,18 ,15 ,,2 ,4 ,12 ,2 ,4 ,2 ,1 ,14 ,7 ,5 ,14 ,8 ,2 ,6 ,3 ,27 ,2 ,,,,,8 
8 ,3 ,7 ,2 ,,4 ,2 ,4 ,9 ,1 ,16 ,1 ,2 ,,7 ,3 ,3 ,10 ,7 ,,2 ,2 ,8 ,1 ,3 ,3 ,3 ,10 ,4 ,2 ,8 ,2 ,,4 ,2 ,16 ,,,,,,3 
4 ,6 ,5 ,4 ,,,5 ,8 ,12 ,3 ,20 ,,7 ,,7 ,6 ,5 ,14 ,12 ,,1 ,2 ,4 ,3 ,4 ,6 ,5 ,8 ,4 ,2 ,13 ,10 ,5 ,6 ,2 ,16 ,3 ,23 ,,,,45 
