종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
6 ,1 ,,,4 ,,6 ,2 ,8 ,3 ,,5 ,6 ,1 ,8 ,9 ,18 ,17 ,,6 ,9 ,,,0 ,1 
,,,2 ,3 ,,5 ,1 ,5 ,5 ,1 ,4 ,5 ,1 ,6 ,8 ,9 ,5 ,0 ,2 ,8 ,1 ,,,1 
,,,2 ,2 ,,7 ,5 ,12 ,6 ,1 ,5 ,6 ,3 ,7 ,15 ,16 ,11 ,1 ,14 ,13 ,,1 ,1 ,0 
,0 ,3 ,,1 ,,2 ,6 ,11 ,7 ,1 ,6 ,4 ,2 ,9 ,13 ,13 ,16 ,2 ,14 ,15 ,1 ,1 ,1 ,3 
4 ,,1 ,2 ,2 ,2 ,3 ,5 ,8 ,5 ,1 ,5 ,4 ,2 ,9 ,12 ,9 ,10 ,1 ,2 ,18 ,2 ,3 ,1 ,6 
,2 ,4 ,1 ,4 ,1 ,10 ,5 ,18 ,14 ,,9 ,5 ,4 ,13 ,10 ,14 ,19 ,2 ,10 ,12 ,1 ,1 ,2 ,3 
3 ,4 ,2 ,2 ,3 ,1 ,7 ,8 ,21 ,2 ,2 ,6 ,5 ,1 ,12 ,19 ,17 ,24 ,3 ,11 ,10 ,1 ,2 ,3 ,2 
4 ,3 ,,1 ,5 ,2 ,13 ,7 ,20 ,11 ,3 ,10 ,4 ,2 ,5 ,14 ,9 ,21 ,3 ,12 ,15 ,1 ,2 ,4 ,3 
,3 ,,1 ,4 ,3 ,7 ,8 ,5 ,6 ,4 ,5 ,3 ,2 ,9 ,8 ,8 ,11 ,4 ,10 ,11 ,2 ,2 ,3 ,4 
4 ,,,4 ,4 ,2 ,8 ,6 ,17 ,7 ,3 ,7 ,8 ,3 ,13 ,13 ,13 ,21 ,5 ,10 ,14 ,2 ,2 ,1 ,7 
