서울특별시,경기도,인천광역시,세종특별자치시,부산광역시,대구광역시,광주광역시,대전광역시,울산광역시,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
5 ,3 ,7 ,,0 ,1 ,2 ,2 ,2 ,1 ,1 ,1 ,1 ,2 ,0 ,1 ,5 
3 ,2 ,7 ,,1 ,1 ,,,0 ,,,2 ,,3 ,2 ,0 ,4 
6 ,4 ,11 ,,2 ,1 ,1 ,,2 ,2 ,1 ,2 ,0 ,1 ,1 ,1 ,11 
6 ,5 ,11 ,,2 ,4 ,3 ,1 ,1 ,,2 ,2 ,2 ,3 ,1 ,2 ,6 
5 ,6 ,9 ,1 ,2 ,3 ,3 ,,2 ,,3 ,1 ,1 ,2 ,1 ,1 ,10 
7 ,6 ,10 ,1 ,3 ,4 ,2 ,2 ,4 ,2 ,2 ,3 ,2 ,3 ,2 ,1 ,14 
8 ,7 ,15 ,,2 ,5 ,4 ,1 ,2 ,4 ,2 ,3 ,4 ,6 ,3 ,3 ,4 
7 ,7 ,16 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,1 ,3 ,1 ,5 ,1 ,0 ,5 
5 ,5 ,16 ,4 ,3 ,4 ,3 ,4 ,0 ,4 ,3 ,5 ,3 ,7 ,2 ,1 ,8 
8 ,7 ,14 ,1 ,2 ,6 ,7 ,3 ,2 ,1 ,1 ,6 ,3 ,4 ,2 ,1 ,18 
